# Bin          Energy [eV]
    1       -11.0940668231
    2       -10.0084550538
    3        -9.2990379469
    4        -8.7595167484
    5        -8.2606686777
    6        -7.8221545039
    7        -7.4160855516
    8        -7.0314022981
    9        -6.6910692467
   10        -6.3630156043
   11        -6.0544273534
   12        -5.7653853118
   13        -5.4838468092
   14        -5.2124641394
   15        -4.9624946518
   16        -4.7113158904
   17        -4.4809919336
   18        -4.2522862378
   19        -4.0310236719
   20        -3.8224146716
   21        -3.6238654479
   22        -3.4255224865
   23        -3.2307820402
   24        -3.0534435461
   25        -2.8738309966
   26        -2.7037179956
   27        -2.5378639845
   28        -2.3744889032
   29        -2.2241555307
   30        -2.0737782935
   31        -1.9249257918
   32        -1.7826255192
   33        -1.6441642831
   34        -1.5168268158
   35        -1.3907654265
   36        -1.2661616421
   37        -1.1460781855
   38        -1.0272526569
   39        -0.9203952392
   40        -0.8160620854
   41        -0.7126680510
   42        -0.6145597463
   43        -0.5235378846
   44        -0.4336567513
   45        -0.3504018894
   46        -0.2750592815
   47        -0.2015668818
   48        -0.1389356040
   49        -0.0796613320
   50        -0.0331034241
   51        -0.0053224817
   52         0.0276229099
   53         0.1167445054
   54         0.2393448435
   55         0.3943530093
   56         0.5839080815
   57         0.8175248606
   58         1.1122696464
   59         1.4898185104
   60         2.0348266940
