id,v,Longitude,Latitude,rIn,EeVVib,EeVRot
1,0,-0.000000e+00,-9.753689e+01,1.993478e+00,0.000000e+00,0.000000e+00
2,0,-1.000000e+00,-9.753196e+01,1.993489e+00,0.000000e+00,4.933000e-04
3,0,-2.000000e+00,-9.752209e+01,1.993512e+00,0.000000e+00,1.480300e-03
4,0,-3.000000e+00,-9.750729e+01,1.993546e+00,0.000000e+00,2.960000e-03
5,0,-4.000000e+00,-9.748756e+01,1.993592e+00,0.000000e+00,4.933400e-03
6,0,-5.000000e+00,-9.746289e+01,1.993648e+00,0.000000e+00,7.399800e-03
7,0,-6.000000e+00,-9.743330e+01,1.993717e+00,0.000000e+00,1.035940e-02
8,0,-7.000000e+00,-9.739877e+01,1.993796e+00,0.000000e+00,1.381190e-02
9,0,-8.000000e+00,-9.735932e+01,1.993887e+00,0.000000e+00,1.775730e-02
10,0,-9.000000e+00,-9.731494e+01,1.993989e+00,0.000000e+00,2.219550e-02
11,0,-1.000000e+01,-9.726563e+01,1.994103e+00,0.000000e+00,2.712620e-02
12,0,-1.100000e+01,-9.721140e+01,1.994228e+00,0.000000e+00,3.254920e-02
13,0,-1.200000e+01,-9.715224e+01,1.994364e+00,0.000000e+00,3.846460e-02
14,0,-1.300000e+01,-9.708817e+01,1.994512e+00,0.000000e+00,4.487180e-02
15,0,-1.400000e+01,-9.701918e+01,1.994671e+00,0.000000e+00,5.177100e-02
16,0,-1.500000e+01,-9.694527e+01,1.994841e+00,0.000000e+00,5.916190e-02
17,0,-1.600000e+01,-9.686645e+01,1.995023e+00,0.000000e+00,6.704390e-02
18,0,-1.700000e+01,-9.678272e+01,1.995217e+00,0.000000e+00,7.541690e-02
19,0,-1.800000e+01,-9.669408e+01,1.995421e+00,0.000000e+00,8.428070e-02
20,0,-1.900000e+01,-9.660054e+01,1.995638e+00,0.000000e+00,9.363490e-02
21,0,-2.000000e+01,-9.650210e+01,1.995865e+00,0.000000e+00,1.034794e-01
22,0,-2.100000e+01,-9.639876e+01,1.996104e+00,0.000000e+00,1.138135e-01
23,0,-2.200000e+01,-9.629052e+01,1.996355e+00,0.000000e+00,1.246371e-01
24,0,-2.300000e+01,-9.617739e+01,1.996617e+00,0.000000e+00,1.359497e-01
25,0,-2.400000e+01,-9.605938e+01,1.996890e+00,0.000000e+00,1.477507e-01
26,0,-2.500000e+01,-9.593649e+01,1.997175e+00,0.000000e+00,1.600402e-01
27,0,-2.600000e+01,-9.580871e+01,1.997471e+00,0.000000e+00,1.728176e-01
28,0,-2.700000e+01,-9.567607e+01,1.997779e+00,0.000000e+00,1.860820e-01
29,0,-2.800000e+01,-9.553855e+01,1.998098e+00,0.000000e+00,1.998336e-01
30,0,-2.900000e+01,-9.539617e+01,1.998429e+00,0.000000e+00,2.140717e-01
31,0,-3.000000e+01,-9.524894e+01,1.998772e+00,0.000000e+00,2.287955e-01
32,0,-3.100000e+01,-9.509684e+01,1.999126e+00,0.000000e+00,2.440047e-01
33,0,-3.200000e+01,-9.493990e+01,1.999491e+00,0.000000e+00,2.596989e-01
34,0,-3.300000e+01,-9.477812e+01,1.999868e+00,0.000000e+00,2.758774e-01
35,1,-0.000000e+00,-9.464817e+01,1.939677e+00,2.888725e-01,0.000000e+00
36,1,-1.000000e+00,-9.464327e+01,1.939688e+00,2.888725e-01,4.893000e-04
37,1,-2.000000e+00,-9.463349e+01,1.939710e+00,2.888725e-01,1.467200e-03
38,1,-3.000000e+00,-9.461882e+01,1.939744e+00,2.888725e-01,2.934200e-03
39,0,-3.400000e+01,-9.461149e+01,2.000257e+00,0.000000e+00,2.925398e-01
40,1,-4.000000e+00,-9.459926e+01,1.939788e+00,2.888725e-01,4.890400e-03
41,1,-5.000000e+00,-9.457481e+01,1.939843e+00,2.888725e-01,7.335100e-03
42,1,-6.000000e+00,-9.454548e+01,1.939909e+00,2.888725e-01,1.026880e-02
43,1,-7.000000e+00,-9.451125e+01,1.939986e+00,2.888725e-01,1.369110e-02
44,1,-8.000000e+00,-9.447214e+01,1.940074e+00,2.888725e-01,1.760220e-02
45,0,-3.500000e+01,-9.444004e+01,2.000657e+00,0.000000e+00,3.096854e-01
46,1,-9.000000e+00,-9.442815e+01,1.940174e+00,2.888725e-01,2.200150e-02
47,1,-1.000000e+01,-9.437927e+01,1.940284e+00,2.888725e-01,2.688920e-02
48,1,-1.100000e+01,-9.432552e+01,1.940405e+00,2.888725e-01,3.226480e-02
49,1,-1.200000e+01,-9.426688e+01,1.940538e+00,2.888725e-01,3.812860e-02
50,0,-3.600000e+01,-9.426375e+01,2.001069e+00,0.000000e+00,3.273137e-01
51,1,-1.300000e+01,-9.420337e+01,1.940681e+00,2.888725e-01,4.448000e-02
52,1,-1.400000e+01,-9.413498e+01,1.940835e+00,2.888725e-01,5.131880e-02
53,0,-3.700000e+01,-9.408265e+01,2.001492e+00,0.000000e+00,3.454237e-01
54,1,-1.500000e+01,-9.406172e+01,1.941001e+00,2.888725e-01,5.864490e-02
55,1,-1.600000e+01,-9.398359e+01,1.941178e+00,2.888725e-01,6.645780e-02
56,1,-1.700000e+01,-9.390059e+01,1.941365e+00,2.888725e-01,7.475780e-02
57,0,-3.800000e+01,-9.389674e+01,2.001927e+00,0.000000e+00,3.640154e-01
58,1,-1.800000e+01,-9.381273e+01,1.941564e+00,2.888725e-01,8.354380e-02
59,1,-1.900000e+01,-9.372000e+01,1.941774e+00,2.888725e-01,9.281640e-02
60,0,-3.900000e+01,-9.370601e+01,2.002374e+00,0.000000e+00,3.830876e-01
61,1,-2.000000e+01,-9.362242e+01,1.941995e+00,2.888725e-01,1.025744e-01
62,1,-2.100000e+01,-9.351998e+01,1.942227e+00,2.888725e-01,1.128181e-01
63,0,-4.000000e+01,-9.351049e+01,2.002833e+00,0.000000e+00,4.026400e-01
64,1,-2.200000e+01,-9.341270e+01,1.942470e+00,2.888725e-01,1.235468e-01
65,0,-4.100000e+01,-9.331017e+01,2.003303e+00,0.000000e+00,4.226717e-01
