Id,Bin
1,14
2,13
3,14
4,13
5,14
6,13
7,14
8,13
9,14
10,13
11,14
12,13
13,14
14,13
15,14
16,13
17,14
18,13
19,14
20,13
21,14
22,13
23,14
24,13
25,14
26,13
27,14
28,13
29,14
30,13
31,14
32,13
33,14
34,13
35,15
36,16
37,15
38,16
39,14
40,15
41,16
42,15
43,16
44,15
45,13
46,16
47,15
48,16
49,15
50,14
51,16
52,15
53,13
54,16
55,15
56,16
57,14
58,15
59,16
60,13
61,15
62,16
63,14
64,15
65,13
66,16
67,15
68,14
69,16
70,15
71,13
72,16
73,14
74,15
75,16
76,13
77,15
78,14
79,16
80,15
81,13
82,16
83,17
84,8
85,17
86,14
87,8
88,15
89,17
90,8
91,17
92,8
93,17
94,16
95,8
96,13
97,17
98,8
99,17
100,15
101,8
102,14
103,17
104,16
105,8
106,17
107,8
108,13
109,15
110,17
111,8
112,16
113,14
114,17
115,8
116,15
117,17
118,13
119,8
120,16
121,17
122,14
123,15
124,8
125,17
126,16
127,13
128,8
129,15
130,17
131,14
132,8
133,16
134,17
135,13
136,8
137,15
138,17
139,14
140,16
141,8
142,18
143,8
144,18
145,8
146,15
147,18
148,17
149,8
150,13
151,18
152,8
153,18
154,8
155,8
156,18
157,16
158,8
159,14
160,18
161,17
162,8
163,18
164,15
165,8
166,8
167,18
168,13
169,8
170,17
171,16
172,18
173,8
174,8
175,14
176,18
177,15
178,8
179,17
180,18
181,16
182,13
183,8
184,8
185,18
186,15
187,17
188,8
189,14
190,18
191,8
192,16
193,8
194,13
195,18
196,17
197,15
198,8
199,8
200,14
201,18
202,16
203,8
204,17
205,18
206,13
207,15
208,8
209,8
210,2
211,8
212,2
213,8
214,2
215,17
216,18
217,8
218,14
219,2
220,16
221,8
222,2
223,8
224,8
225,2
226,8
227,8
228,2
229,15
230,18
231,13
232,8
233,2
234,17
235,8
236,8
237,2
238,16
239,8
240,14
241,18
242,8
243,2
244,8
245,8
246,15
247,2
248,17
249,13
250,8
251,18
252,2
253,8
254,16
255,8
256,8
257,2
258,14
259,18
260,17
261,8
262,15
263,2
264,8
265,13
266,8
267,8
268,16
269,2
270,18
271,17
272,8
273,14
274,8
275,2
276,15
277,8
278,8
279,18
280,13
281,2
282,16
283,8
284,17
285,8
286,2
287,11
288,2
289,11
290,2
291,11
292,2
293,18
294,2
295,14
296,15
297,11
298,8
299,2
300,11
301,8
302,2
303,11
304,8
305,2
306,2
307,17
308,11
309,16
310,13
311,2
312,18
313,11
314,8
315,2
316,8
317,11
318,2
319,15
320,8
321,2
322,14
323,11
324,8
325,2
326,17
327,18
328,11
329,16
330,2
331,2
332,13
333,8
334,11
335,8
336,8
337,2
338,15
339,2
340,11
341,18
342,14
343,17
344,2
345,8
346,11
347,8
348,16
349,2
350,8
351,2
352,13
353,11
354,18
355,8
356,15
357,2
358,17
359,11
360,8
361,2
362,26
363,2
364,16
365,8
366,8
367,18
368,11
369,2
370,11
371,2
372,11
373,2
374,30
375,11
376,2
377,2
378,2
379,11
380,29
381,17
382,2
383,8
384,11
385,11
386,2
387,11
388,8
389,2
390,2
391,11
392,26
393,18
394,8
395,2
396,28
397,11
398,2
399,11
400,2
401,11
402,8
403,2
404,2
405,8
406,17
407,30
408,11
409,29
410,11
411,2
412,18
413,2
414,11
415,2
416,8
417,2
418,28
419,26
420,11
421,8
422,11
423,8
424,2
425,17
426,11
427,2
428,2
429,18
430,2
431,29
432,30
433,11
434,11
435,8
436,8
437,2
438,2
439,8
440,28
441,11
442,2
443,26
444,11
445,2
446,17
447,18
448,11
449,8
450,2
451,29
452,2
453,30
454,8
455,8
456,11
457,2
458,11
459,2
460,1
461,2
462,1
463,2
464,1
465,2
466,2
467,28
468,2
469,1
470,2
471,18
472,8
473,17
474,1
475,26
476,2
477,11
478,1
479,11
480,2
481,1
482,2
483,2
484,2
485,29
486,8
487,1
488,8
489,2
490,11
491,2
492,30
493,1
494,8
495,2
496,2
497,11
498,18
499,1
500,28
501,17
502,11
503,2
504,2
505,2
506,1
507,26
508,2
509,2
510,8
511,1
512,8
513,11
514,29
515,11
516,8
517,2
518,1
519,18
520,2
521,30
522,2
523,2
524,2
525,17
526,28
527,11
528,1
529,11
530,8
531,2
532,2
533,8
534,26
535,1
536,8
537,2
538,11
539,29
540,2
541,18
542,2
543,1
544,11
545,2
546,17
547,30
548,2
549,8
550,28
551,11
552,8
553,1
554,2
555,3
556,1
557,3
558,1
559,3
560,1
561,3
562,2
563,1
564,2
565,3
