#Idx,Group
1,25
2,26
3,25
4,26
5,25
6,26
7,25
8,26
9,25
10,26
11,25
12,26
13,25
14,26
15,25
16,26
17,25
18,26
19,25
20,26
21,25
22,26
23,25
24,26
25,25
26,26
27,25
28,26
29,25
30,26
31,25
32,26
33,25
34,26
35,30
36,29
37,30
38,29
39,25
40,30
41,29
42,30
43,29
44,30
45,26
46,29
47,30
48,29
49,30
50,25
51,29
52,30
53,26
54,29
55,30
56,29
57,25
58,30
59,29
60,26
61,30
62,29
63,25
64,30
65,26
66,29
67,30
68,25
69,29
70,30
71,26
72,29
73,25
74,30
75,29
76,26
77,30
78,25
79,29
80,30
81,26
82,29
83,36
84,32
85,36
86,25
87,32
88,36
89,30
90,32
91,36
92,32
93,36
94,32
95,29
96,26
97,36
98,32
99,36
100,30
101,32
102,25
103,36
104,29
105,32
106,36
107,32
108,26
109,30
110,36
111,32
112,29
113,25
114,36
115,32
116,30
117,36
118,26
119,32
120,29
121,36
122,25
123,30
124,32
125,36
126,29
127,26
128,32
129,30
130,36
131,25
132,32
133,29
134,36
135,26
136,32
137,30
138,36
139,25
140,29
141,32
142,33
143,34
144,33
145,34
146,30
147,33
148,36
149,34
150,26
151,33
152,34
153,33
154,34
155,32
156,33
157,29
158,34
159,33
160,25
161,36
162,34
163,33
164,30
165,34
166,32
167,33
168,26
169,34
170,36
171,29
172,33
173,34
174,32
175,25
176,33
177,30
178,34
179,36
180,33
181,29
182,26
183,34
184,32
185,33
186,30
187,36
188,34
189,25
190,33
191,32
192,29
193,34
194,26
195,33
196,36
197,30
198,34
199,32
200,25
201,33
202,29
203,34
204,36
205,33
206,26
207,32
208,30
209,34
210,35
211,43
212,35
213,43
214,35
215,36
216,33
217,43
218,25
219,35
220,29
221,43
222,35
223,43
224,34
225,35
226,32
227,43
228,35
229,33
230,30
231,26
232,43
233,35
234,36
235,43
236,34
237,35
238,29
239,43
240,25
241,33
242,32
243,35
244,43
245,34
246,30
247,35
248,36
249,26
250,43
251,33
252,35
253,32
254,29
255,43
256,34
257,35
258,25
259,33
260,36
261,43
262,30
263,35
264,34
265,26
266,43
267,32
268,29
