id,v,Longitude,Latitude,rIn,EeVVib,EeVRot,DeltaEintDiss,Bin
1,0,0.000000e+00,-9.753689e+01,1.993478e+00,0.000000e+00,0.000000e+00,-9.753689e+00,1
2,0,1.000000e+00,-9.753196e+01,1.993489e+00,0.000000e+00,4.933000e-04,-9.753197e+00,5
3,0,2.000000e+00,-9.752209e+01,1.993512e+00,0.000000e+00,1.480300e-03,-9.752217e+00,1
4,0,3.000000e+00,-9.750729e+01,1.993546e+00,0.000000e+00,2.960000e-03,-9.750751e+00,5
5,0,4.000000e+00,-9.748756e+01,1.993592e+00,0.000000e+00,4.933400e-03,-9.748802e+00,1
6,0,5.000000e+00,-9.746289e+01,1.993648e+00,0.000000e+00,7.399800e-03,-9.746373e+00,5
7,0,6.000000e+00,-9.743330e+01,1.993717e+00,0.000000e+00,1.035940e-02,-9.743467e+00,1
8,0,7.000000e+00,-9.739877e+01,1.993796e+00,0.000000e+00,1.381190e-02,-9.740087e+00,5
9,0,8.000000e+00,-9.735932e+01,1.993887e+00,0.000000e+00,1.775730e-02,-9.736235e+00,1
10,0,9.000000e+00,-9.731494e+01,1.993989e+00,0.000000e+00,2.219550e-02,-9.731914e+00,5
11,0,1.000000e+01,-9.726563e+01,1.994103e+00,0.000000e+00,2.712620e-02,-9.727126e+00,1
12,0,1.100000e+01,-9.721140e+01,1.994228e+00,0.000000e+00,3.254920e-02,-9.721875e+00,5
13,0,1.200000e+01,-9.715224e+01,1.994364e+00,0.000000e+00,3.846460e-02,-9.716162e+00,1
14,0,1.300000e+01,-9.708817e+01,1.994512e+00,0.000000e+00,4.487180e-02,-9.709991e+00,5
15,0,1.400000e+01,-9.701918e+01,1.994671e+00,0.000000e+00,5.177100e-02,-9.703363e+00,1
16,0,1.500000e+01,-9.694527e+01,1.994841e+00,0.000000e+00,5.916190e-02,-9.696281e+00,5
17,0,1.600000e+01,-9.686645e+01,1.995023e+00,0.000000e+00,6.704390e-02,-9.688747e+00,1
18,0,1.700000e+01,-9.678272e+01,1.995217e+00,0.000000e+00,7.541690e-02,-9.680764e+00,5
19,0,1.800000e+01,-9.669408e+01,1.995421e+00,0.000000e+00,8.428070e-02,-9.672334e+00,1
