Id,Group
1,1
2,1
3,1
4,1
5,2
6,2
7,2
8,2
9,3
10,3
11,3
12,4
13,4
14,4
15,4
16,5
17,5
18,5
19,5
20,6
21,6
22,6
23,6
24,6
25,7
26,7
27,7
28,7
29,7
30,8
31,8
32,8
33,8
34,8
35,8
36,9
37,9
38,9
39,9
40,9
41,9
42,9
43,10
44,10
45,10
46,10
47,10
48,10
49,10
50,10
51,10
52,10
53,10
54,10
55,10
56,10
57,10
58,10
59,10
60,10
61,10
62,1
63,1
64,1
65,1
66,2
67,2
68,2
69,2
70,3
71,3
72,3
73,4
74,4
75,4
76,4
77,5
78,5
79,5
80,5
81,6
82,6
83,6
84,6
85,6
86,7
87,7
88,7
89,7
90,7
91,8
92,8
93,8
94,8
95,8
96,8
97,9
98,9
99,9
100,9
101,9
102,9
103,9
104,10
105,10
106,10
107,10
108,10
109,10
110,10
111,10
112,10
113,10
114,10
115,10
116,10
117,10
118,10
119,10
120,10
121,10
122,10
123,1
124,1
125,1
126,1
127,2
128,2
129,2
130,2
131,3
132,3
133,3
134,4
135,4
136,4
137,4
138,5
139,5
140,5
141,5
142,6
143,6
144,6
145,6
146,6
147,7
148,7
149,7
150,7
151,7
152,8
153,8
154,8
155,8
156,8
157,8
158,9
159,9
160,9
161,9
162,9
163,9
164,9
165,10
166,10
167,10
168,10
169,10
170,10
171,10
172,10
173,10
174,10
175,10
176,10
177,10
178,10
179,10
180,10
181,10
182,10
183,10
184,1
185,1
186,1
187,1
188,2
189,2
190,2
191,2
192,3
193,3
194,3
195,4
196,4
197,4
198,4
199,5
200,5
201,5
202,5
203,6
204,6
205,6
206,6
207,6
208,7
209,7
210,7
211,7
212,7
213,8
214,8
215,8
216,8
217,8
218,8
219,9
220,9
221,9
222,9
223,9
224,9
225,9
226,10
227,10
228,10
229,10
230,10
231,10
232,10
233,10
234,10
235,10
236,10
237,10
238,10
239,10
240,10
241,10
242,10
243,10
244,11
245,1
246,1
247,1
248,1
249,2
250,2
251,2
252,3
253,3
254,3
255,3
256,4
257,4
258,4
259,4
260,5
261,5
262,5
263,5
264,6
265,6
266,6
267,6
268,6
269,7
270,7
271,7
272,7
273,7
274,8
275,8
276,8
277,8
278,8
279,8
280,9
281,9
282,9
283,9
284,9
285,9
286,9
287,10
288,10
289,10
290,10
291,10
292,10
293,10
294,10
295,10
296,10
297,10
298,10
299,10
300,10
301,10
302,10
303,10
304,10
305,1
306,1
307,1
308,1
309,2
310,2
311,2
312,3
313,3
314,3
315,3
316,4
317,4
318,4
319,4
320,5
321,5
322,5
323,5
324,6
325,6
326,6
327,6
328,6
329,7
330,7
331,7
332,7
333,7
334,8
335,8
336,8
337,8
338,8
339,8
340,9
341,9
342,9
343,9
344,9
345,9
346,9
347,10
348,10
349,10
350,10
351,10
352,10
353,10
354,10
355,10
356,10
357,10
358,10
359,10
360,10
361,10
362,10
363,10
364,10
365,1
366,1
367,1
368,1
369,2
370,2
371,2
372,3
373,3
374,3
375,3
376,4
377,4
378,4
379,4
380,5
381,5
382,5
383,5
384,6
385,6
386,6
387,6
388,6
389,7
390,7
391,7
392,7
393,7
394,8
395,8
396,8
397,8
398,8
399,8
400,9
401,9
402,9
403,9
404,9
405,9
406,9
407,10
408,10
409,10
410,10
411,10
412,10
413,10
414,10
415,10
416,10
417,10
418,10
419,10
420,10
421,10
422,10
423,10
424,10
425,1
426,1
427,1
428,1
429,2
430,2
431,2
432,3
433,3
434,3
435,3
436,4
437,4
438,4
439,4
440,5
441,5
442,5
443,5
444,6
445,6
446,6
447,6
448,6
449,7
450,7
451,7
452,7
453,7
454,8
455,8
456,8
457,8
458,8
459,8
460,9
461,9
462,9
463,9
464,9
465,9
466,9
467,10
468,10
469,10
470,10
471,10
472,10
473,10
474,10
475,10
476,10
477,10
478,10
479,10
480,10
481,10
482,10
483,10
484,10
485,1
486,1
487,1
488,1
489,2
490,2
491,2
492,3
493,3
494,3
495,3
496,4
497,4
498,4
499,4
500,5
501,5
502,5
503,5
504,6
505,6
506,6
507,6
508,6
509,7
510,7
511,7
512,7
513,7
514,8
515,8
516,8
517,8
518,8
519,8
520,9
521,9
522,9
523,9
524,9
525,9
526,9
527,10
528,10
529,10
530,10
531,10
532,10
533,10
534,10
535,10
536,10
537,10
538,10
539,10
540,10
541,10
542,10
543,10
544,11
545,1
546,1
547,1
548,1
549,2
550,2
551,2
552,3
553,3
554,3
555,3
556,4
557,4
558,4
559,4
560,5
561,5
562,5
563,5
564,6
565,6
566,6
567,6
568,6
569,7
570,7
571,7
572,7
573,7
574,8
575,8
576,8
577,8
578,8
579,8
580,9
581,9
582,9
583,9
584,9
585,9
586,9
587,10
588,10
589,10
590,10
591,10
592,10
593,10
594,10
595,10
596,10
597,10
598,10
599,10
600,10
601,10
