Id,v,longitude,latitude,rin,eevvib,eevrot,deltaeintdiss,bin
1,0,0,-97.53689,1.993478,0,0,-9.753689,14
2,0,1,-97.53196,1.993489,0,0.000493,-9.753197,13
3,0,2,-97.52209,1.993512,0,0.00148,-9.752217,14
4,0,3,-97.50729,1.993546,0,0.00296,-9.750751,13
5,0,4,-97.48756,1.993592,0,0.004933,-9.748802,14
6,0,5,-97.46289,1.993648,0,0.0074,-9.746373,13
7,0,6,-97.4333,1.993717,0,0.010359,-9.743467,14
8,0,7,-97.39877,1.993796,0,0.013812,-9.740087,13
9,0,8,-97.35932,1.993887,0,0.017757,-9.736235,14
10,0,9,-97.31494,1.993989,0,0.022195,-9.731914,13
11,0,10,-97.26563,1.994103,0,0.027126,-9.727126,14
12,0,11,-97.2114,1.994228,0,0.032549,-9.721875,13
13,0,12,-97.15224,1.994364,0,0.038465,-9.716162,14
14,0,13,-97.08817,1.994512,0,0.044872,-9.709991,13
15,0,14,-97.01918,1.994671,0,0.051771,-9.703363,14
16,0,15,-96.94527,1.994841,0,0.059162,-9.696281,13
17,0,16,-96.86645,1.995023,0,0.067044,-9.688747,14
18,0,17,-96.78272,1.995217,0,0.075417,-9.680764,13
19,0,18,-96.69408,1.995421,0,0.084281,-9.672334,14
20,0,19,-96.60054,1.995638,0,0.093635,-9.663459,13
21,0,20,-96.5021,1.995865,0,0.103479,-9.654141,14
22,0,21,-96.39876,1.996104,0,0.113813,-9.644383,13
23,0,22,-96.29052,1.996355,0,0.124637,-9.634186,14
24,0,23,-96.17739,1.996617,0,0.13595,-9.623554,13
25,0,24,-96.05938,1.99689,0,0.147751,-9.612488,14
26,0,25,-95.93649,1.997175,0,0.16004,-9.60099,13
27,0,26,-95.80871,1.997471,0,0.172818,-9.589062,14
28,0,27,-95.67607,1.997779,0,0.186082,-9.576706,13
29,0,28,-95.53855,1.998098,0,0.199834,-9.563925,14
30,0,29,-95.39617,1.998429,0,0.214072,-9.550721,13
31,0,30,-95.24894,1.998772,0,0.228796,-9.537095,14
32,0,31,-95.09684,1.999126,0,0.244005,-9.52305,13
33,0,32,-94.9399,1.999491,0,0.259699,-9.508587,14
34,0,33,-94.77812,1.999868,0,0.275877,-9.493709,13
35,-1,0,-94.64817,1.939677,0.288872,0,-9.464817,15
36,-1,1,-94.64327,1.939688,0.288872,0.000489,-9.464329,16
37,-1,2,-94.63349,1.93971,0.288872,0.001467,-9.463357,15
38,-1,3,-94.61882,1.939744,0.288872,0.002934,-9.461904,16
39,0,34,-94.61149,2.000257,0,0.29254,-9.478417,14
40,-1,4,-94.59926,1.939788,0.288872,0.00489,-9.459972,15
41,-1,5,-94.57481,1.939843,0.288872,0.007335,-9.457565,16
42,-1,6,-94.54548,1.939909,0.288872,0.010269,-9.454685,15
43,-1,7,-94.51125,1.939986,0.288872,0.013691,-9.451335,16
44,-1,8,-94.47214,1.940074,0.288872,0.017602,-9.447517,15
45,0,35,-94.44004,2.000657,0,0.309685,-9.462715,13
46,-1,9,-94.42815,1.940174,0.288872,0.022002,-9.443235,16
47,-1,10,-94.37927,1.940284,0.288872,0.026889,-9.438491,15
48,-1,11,-94.32552,1.940405,0.288872,0.032265,-9.433287,16
49,-1,12,-94.26688,1.940538,0.288872,0.038129,-9.427626,15
50,0,36,-94.26375,2.001069,0,0.327314,-9.446602,14
51,-1,13,-94.20337,1.940681,0.288872,0.04448,-9.42151,16
52,-1,14,-94.13498,1.940835,0.288872,0.051319,-9.414943,15
53,0,37,-94.08265,2.001492,0,0.345424,-9.430083,13
54,-1,15,-94.06172,1.941001,0.288872,0.058645,-9.407925,16
55,-1,16,-93.98359,1.941178,0.288872,0.066458,-9.400461,15
56,-1,17,-93.90059,1.941365,0.288872,0.074758,-9.392551,16
