id,bin
1,17
2,19
3,17
4,19
5,17
6,19
7,17
8,19
9,17
10,19
11,17
12,19
13,17
14,19
15,17
16,19
17,17
18,19
19,17
20,19
21,17
22,19
23,17
24,19
25,17
26,19
27,17
28,19
29,17
30,19
31,17
32,19
33,17
34,19
35,28
36,23
37,28
38,23
39,17
40,28
41,23
42,28
43,23
44,28
45,19
46,23
47,28
48,23
49,28
50,17
51,23
52,28
53,19
54,23
55,28
56,23
57,17
58,28
59,23
60,19
61,28
62,23
63,17
64,28
65,19
66,23
67,28
68,17
69,23
70,28
71,19
72,23
73,17
74,28
75,23
76,19
77,28
78,17
79,23
80,28
81,19
82,23
83,30
84,26
85,30
86,17
87,26
88,28
89,30
90,26
91,30
92,26
93,30
94,23
95,26
96,19
97,30
98,26
99,30
100,28
101,26
102,17
103,30
104,23
105,26
106,30
107,26
108,19
109,28
110,30
111,26
112,23
113,17
114,30
115,26
116,28
117,30
118,19
119,26
120,23
121,30
122,17
123,28
124,26
125,30
126,23
127,19
128,26
129,28
130,30
131,17
132,26
133,23
134,30
135,19
136,26
137,28
138,30
139,17
140,23
141,26
142,18
143,24
144,18
145,24
146,28
147,18
148,30
149,24
150,19
151,18
152,24
153,18
154,24
155,26
156,18
157,23
158,24
159,17
160,18
161,30
162,24
163,18
164,28
165,26
166,24
167,18
168,19
169,24
170,30
171,23
172,18
173,24
174,26
175,17
176,18
177,28
178,24
179,30
180,18
181,23
182,19
183,24
184,26
185,18
186,28
187,30
188,24
189,17
190,18
191,26
192,23
193,24
194,19
195,18
196,30
197,28
198,24
199,26
200,17
201,18
202,23
203,24
204,30
205,18
206,19
207,28
208,26
209,24
210,2
211,27
212,2
213,27
214,2
215,30
216,18
217,27
218,17
219,2
220,23
221,27
222,2
223,27
224,24
225,2
226,26
227,27
228,2
229,28
230,18
231,19
232,27
233,2
234,30
235,27
236,24
237,2
238,23
239,27
240,17
241,18
242,26
243,2
244,27
245,24
246,28
247,2
248,30
249,19
250,27
251,18
252,2
253,26
254,23
255,27
256,24
257,2
258,17
259,18
260,30
261,27
262,28
263,2
264,24
265,19
266,27
267,26
268,23
269,2
270,18
271,30
272,27
273,17
274,24
275,2
276,28
277,26
278,27
279,18
280,19
281,2
282,23
283,24
284,30
285,27
286,3
287,13
288,3
289,13
290,3
291,13
292,2
293,18
294,3
295,17
296,28
297,13
298,26
299,3
300,13
301,27
302,3
303,13
304,24
305,3
306,2
307,30
308,13
309,23
310,19
311,3
312,18
313,13
314,27
315,3
316,26
317,13
318,2
319,28
320,24
321,3
322,17
323,13
324,27
325,3
326,30
327,18
328,13
329,23
330,2
331,3
332,19
333,24
334,13
335,26
336,27
337,3
338,28
339,2
340,13
341,18
342,17
343,30
344,3
345,27
346,13
347,24
348,23
349,3
350,26
351,2
352,19
353,13
354,18
355,27
356,28
357,3
358,30
359,13
360,24
361,2
362,17
363,3
364,23
365,26
366,27
367,18
368,13
369,29
370,13
371,29
372,13
373,29
374,19
375,13
376,3
377,29
378,2
379,13
380,28
381,30
382,29
383,24
384,13
385,13
386,29
387,13
388,27
389,29
390,3
391,13
392,17
393,18
394,26
395,29
396,23
397,13
398,2
399,13
400,29
401,13
402,24
403,3
404,29
405,27
406,30
407,19
408,13
409,28
410,13
411,29
412,18
413,2
414,13
415,3
416,26
417,29
418,23
419,17
420,13
421,27
422,13
423,24
424,29
425,30
426,13
427,3
428,2
429,18
430,29
431,2
432,19
433,13
434,13
435,27
436,26
437,29
438,3
439,24
440,23
441,13
442,2
443,17
444,13
445,29
446,30
447,18
448,13
449,27
450,3
451,2
452,29
453,19
454,26
455,24
456,13
457,2
458,13
459,11
460,1
461,11
462,1
463,11
464,1
465,29
466,11
467,1
468,3
469,1
470,11
471,18
472,27
473,2
474,1
475,17
476,11
477,13
478,1
479,13
480,11
481,1
482,29
483,2
484,11
485,2
486,24
487,1
488,26
489,3
490,13
491,11
492,19
493,1
494,27
495,29
496,11
497,13
498,2
499,1
500,1
501,2
502,13
503,11
504,2
505,3
506,1
507,17
508,29
509,11
510,24
511,1
512,1
513,13
514,2
515,13
516,27
517,11
518,1
519,2
520,29
521,19
522,3
523,11
524,2
525,2
526,1
527,13
528,1
529,13
530,24
531,11
532,29
533,27
534,17
535,1
536,1
537,3
538,13
539,2
540,11
541,2
542,2
543,1
544,13
545,29
546,2
547,19
548,11
549,24
550,1
551,13
552,27
553,1
554,3
555,11
556,14
557,11
558,14
559,11
560,14
561,11
562,11
563,14
564,29
565,11
566,1
567,14
568,13
569,2
570,17
571,11
572,2
573,1
574,14
575,2
576,11
577,13
578,14
579,11
580,11
581,3
582,14
583,27
584,2
585,29
586,1
587,1
588,11
589,1
590,14
591,1
592,11
593,11
594,13
595,13
596,14
597,2
598,1
599,11
600,1
601,2
602,14
603,29
604,3
605,11
606,2
607,11
608,2
609,27
610,14
611,13
612,1
613,1
614,2
615,13
616,11
617,14
618,11
619,2
620,29
621,11
622,1
623,1
624,3
625,2
626,1
627,14
628,1
629,13
630,11
631,27
632,11
633,13
634,14
635,2
636,29
637,2
638,1
639,1
640,11
641,2
642,2
643,3
644,14
645,11
646,13
647,11
648,2
649,1
650,1
651,1
652,1
653,14
654,13
655,1
656,29
657,11
658,14
659,11
660,14
661,11
662,14
663,11
664,11
665,14
666,11
667,11
668,14
669,1
670,11
671,13
672,14
673,3
674,14
675,2
676,2
677,11
678,1
679,2
680,14
681,2
682,11
683,11
684,29
685,14
686,13
687,14
688,11
689,11
690,2
691,1
692,14
693,1
694,11
695,11
696,13
697,1
698,1
699,14
700,1
701,3
702,11
703,14
704,2
705,1
706,14
707,11
708,29
709,11
710,11
711,2
712,13
713,2
714,14
715,1
716,14
717,11
718,2
719,1
720,13
721,2
722,14
