# Bin  Energy [eV]
   1     -20.00
   2     -9.510
   3     -9.266
   4     -9.022
   5     -8.778
   6     -8.534
   7     -8.291
   8     -8.047
   9     -7.803
  10     -7.559
  11     -7.315
  12     -7.071
  13     -6.828
  14     -6.584
  15     -6.340
  16     -6.096
  17     -5.852
  18     -5.608
  19     -5.364
  20     -5.121
  21     -4.877
  22     -4.633
  23     -4.389
  24     -4.145
  25     -3.901
  26     -3.658
  27     -3.414
  28     -3.170
  29     -2.926
  30     -2.682
  31     -2.438
  32     -2.195
  33     -1.951
  34     -1.707
  35     -1.463
  36     -1.219
  37     -0.975
  38     -0.732
  39     -0.488
  40     -0.244
  41      0.000
  42      0.246
  43      0.492
  44      0.738
  45      0.984
  46      1.230
  47      1.477
  48      1.723
  49      1.969
  50      2.215
  51      2.461
  52      2.707
  53      2.953
  54      3.199
  55      3.445
  56      3.691
  57      3.938
  58      4.184
  59      4.430
  60      4.676
