#Idx,Group
1,32
2,33
3,32
4,33
5,32
6,33
7,32
8,33
9,32
10,33
11,32
12,33
13,32
14,33
15,32
16,33
17,32
18,33
19,32
20,33
21,32
22,33
23,32
24,33
25,32
26,33
27,32
28,33
29,32
30,33
31,32
32,33
33,32
34,33
35,37
36,38
37,32
38,37
39,38
40,37
41,38
42,37
43,38
44,37
45,33
46,38
47,37
48,38
49,32
50,37
51,38
52,37
53,33
54,38
55,37
56,32
57,38
58,37
59,33
60,38
61,37
62,32
63,38
64,37
65,33
66,38
67,37
68,32
69,38
70,37
71,33
72,38
73,32
74,37
75,38
76,33
77,37
78,32
79,38
80,37
81,33
82,38
83,32
84,39
85,41
86,39
87,37
88,41
89,39
90,41
91,39
92,41
93,39
94,38
95,33
96,41
97,39
98,41
99,37
100,39
101,41
102,32
103,39
104,38
105,41
106,39
107,33
108,37
109,41
110,39
111,38
112,41
113,32
114,39
115,37
116,41
117,33
118,39
119,38
120,41
121,39
122,32
123,37
124,41
125,39
126,38
127,33
128,41
129,37
130,39
131,32
132,41
133,38
134,39
135,33
136,37
137,41
138,39
139,32
140,38
141,41
142,37
143,33
144,42
145,40
146,42
147,39
148,40
149,42
150,40
151,42
152,40
153,42
154,41
155,40
156,38
157,42
158,32
159,40
160,39
161,42
162,40
163,37
164,42
165,41
166,40
167,33
168,42
169,38
170,39
171,40
172,42
173,32
174,40
175,41
176,37
177,42
178,39
179,40
180,33
181,38
182,42
183,41
184,40
185,42
186,37
187,32
188,39
189,40
190,42
191,41
192,38
193,33
194,40
195,39
196,42
197,37
198,40
199,32
200,41
201,42
202,38
203,39
204,40
205,33
206,42
207,37
208,41
209,40
210,32
211,39
212,51
213,44
214,51
215,38
216,44
217,42
218,51
219,44
220,51
221,44
222,51
223,40
224,44
225,41
226,51
227,33
228,37
229,44
230,51
231,42
232,44
233,39
234,51
235,40
236,44
237,38
238,32
239,51
240,41
241,44
242,42
243,51
244,37
245,44
246,40
247,39
248,33
249,51
250,44
251,42
252,38
253,51
254,41
255,40
256,44
257,32
258,51
259,39
260,42
261,37
262,44
263,33
264,51
265,40
266,41
267,44
268,38
269,42
270,51
271,39
272,32
273,44
274,40
275,37
276,51
277,41
278,42
279,44
280,33
281,38
282,51
283,39
284,40
285,44
286,32
287,37
288,6
289,46
290,6
291,42
292,46
293,51
294,6
295,41
296,46
297,6
298,46
299,6
300,44
301,46
302,40
303,6
304,46
305,38
306,33
307,39
308,6
309,51
310,46
311,42
312,6
313,44
314,46
315,41
316,6
317,37
318,32
319,46
320,40
321,51
322,6
323,46
324,44
325,39
326,42
327,6
328,38
329,33
330,46
331,51
332,6
333,41
334,40
335,46
336,44
337,37
338,6
339,32
340,42
341,51
342,39
343,46
344,6
345,38
346,44
347,40
348,46
349,41
350,33
351,51
352,6
353,42
354,37
355,46
356,44
357,39
358,6
359,32
360,40
361,46
362,51
363,38
364,41
365,6
366,42
367,44
368,33
369,46
370,6
371,48
372,37
373,6
374,48
375,39
376,51
377,6
378,6
379,48
380,40
381,6
382,48
383,6
384,48
385,46
386,6
387,44
388,32
389,48
390,6
391,41
392,42
393,38
394,6
395,48
396,6
397,51
398,46
399,48
400,6
401,40
402,33
403,39
404,48
405,6
406,44
407,37
408,6
409,48
410,46
411,42
412,6
413,51
414,41
415,48
416,32
417,6
418,38
419,6
420,44
421,40
422,48
423,46
424,39
425,6
426,51
427,6
428,37
429,33
430,48
431,42
432,6
433,46
434,41
435,44
436,48
437,40
438,38
439,6
440,6
441,32
442,51
443,48
444,39
445,46
446,42
447,6
448,37
449,44
450,48
451,6
452,33
453,41
454,6
455,40
456,46
457,51
458,48
459,38
460,31
461,43
462,31
463,43
464,31
465,32
466,6
467,39
468,6
469,43
470,42
471,31
472,44
473,43
474,31
475,43
476,48
477,31
478,46
479,43
480,37
481,31
482,51
483,6
484,40
485,43
486,41
487,31
488,33
489,6
490,43
491,48
492,31
493,44
494,43
495,42
496,6
497,5
498,46
499,39
500,31
501,43
502,48
503,32
504,51
505,31
506,6
507,40
508,43
509,6
510,6
511,41
512,31
513,46
514,44
515,43
516,48
517,33
518,31
519,42
520,6
521,6
522,43
523,39
524,5
525,51
526,31
527,48
528,40
529,43
530,46
531,32
532,44
533,31
534,6
535,41
536,6
537,43
538,6
539,42
540,48
541,31
542,51
543,33
544,46
545,43
546,6
547,6
548,5
549,40
550,31
551,44
552,48
553,6
554,43
555,31
556,43
557,5
558,31
559,32
560,43
561,31
562,43
563,31
564,6
565,31
566,42
567,51
568,43
569,6
570,46
571,31
572,43
573,43
574,31
575,43
576,48
577,31
578,31
579,6
580,43
581,6
582,44
583,40
584,5
585,31
586,6
587,43
588,5
589,43
590,31
591,43
592,46
593,31
594,51
595,48
596,31
597,5
598,42
599,43
600,43
601,32
602,31
603,6
604,6
605,6
606,43
607,44
608,31
609,31
610,6
611,40
612,48
613,43
614,46
615,43
616,31
617,5
618,5
619,51
620,43
621,31
622,6
623,6
624,6
625,5
626,31
627,43
628,43
629,48
630,44
631,6
632,31
633,6
634,46
635,31
636,40
637,43
638,6
639,6
640,43
641,51
642,31
643,6
644,43
645,48
646,5
647,31
648,6
649,5
650,31
651,5
652,44
653,46
654,43
655,6
656,43
657,6
658,54
659,6
660,54
661,6
662,54
663,5
664,31
665,6
666,31
667,6
668,54
669,6
670,6
671,6
672,48
673,6
674,6
675,54
676,43
677,6
678,54
679,43
680,6
681,31
682,54
683,6
684,6
685,6
686,46
687,44
688,54
689,31
690,5
691,43
692,6
693,5
694,5
695,54
696,48
697,31
698,6
699,43
700,6
701,5
702,54
703,6
704,43
705,6
706,6
707,6
708,31
709,54
710,6
711,31
712,46
713,6
714,6
715,5
716,6
717,54
718,43
719,43
720,48
721,6
722,6
723,5
724,54
725,5
726,31
727,31
728,6
729,6
730,6
731,5
732,5
733,43
734,54
735,43
736,46
737,6
738,31
739,48
740,6
741,6
742,54
743,5
744,31
745,6
746,43
747,6
748,6
749,6
750,6
751,54
752,43
753,31
754,5
755,6
756,6
757,5
758,5
759,46
760,48
