#Idx,Group
1,8
2,8
3,8
4,8
5,8
6,8
7,8
8,8
9,8
10,8
11,8
12,8
13,8
14,8
15,8
16,8
17,8
18,8
19,8
20,8
21,8
22,8
23,8
24,8
25,8
26,8
27,8
28,8
29,8
30,8
31,8
32,8
33,8
34,9
35,9
36,9
37,9
38,8
39,9
40,9
41,9
42,9
43,9
44,8
45,9
46,9
47,9
48,8
49,9
50,9
51,9
52,8
53,9
54,9
55,8
56,9
57,9
58,8
59,9
60,9
61,8
62,9
63,9
64,8
65,9
66,9
67,8
68,9
69,8
70,9
71,9
72,8
73,9
74,9
75,8
76,9
77,8
78,9
79,9
80,8
81,10
82,10
83,10
84,10
85,9
86,10
87,10
88,10
89,8
90,10
91,10
92,9
93,10
94,10
95,10
96,8
97,10
98,9
99,10
100,10
101,9
102,10
103,8
104,10
105,9
106,10
107,10
108,8
109,9
110,10
111,10
112,8
113,9
114,10
115,10
116,9
117,10
118,8
119,10
120,9
121,10
122,8
123,10
124,9
125,10
126,8
127,9
128,10
129,10
130,9
131,8
132,10
133,9
134,10
135,8
136,10
137,9
138,13
139,13
140,13
141,8
142,13
143,13
144,10
145,13
146,13
147,13
148,9
149,13
150,13
151,10
152,13
153,8
154,13
155,9
156,13
157,10
158,13
159,13
160,10
161,13
162,8
163,9
164,13
165,13
166,10
167,13
168,9
169,8
170,13
171,10
172,13
173,9
174,13
175,10
176,8
177,13
178,10
179,13
180,9
181,13
182,8
183,10
184,13
185,9
186,13
187,10
188,8
189,13
190,9
191,10
192,13
193,13
194,8
195,10
196,9
197,13
198,10
199,13
200,9
201,8
202,13
203,10
204,23
205,23
206,23
207,23
208,23
209,9
210,13
211,23
212,23
213,8
214,23
215,10
216,23
217,23
218,13
219,23
220,23
221,9
222,23
223,10
224,13
225,23
226,8
227,23
228,13
229,23
230,9
231,10
232,23
233,23
234,13
235,8
236,23
237,10
238,23
239,9
240,13
241,23
242,23
243,8
244,10
245,13
246,9
247,23
248,13
249,23
250,10
251,23
252,8
253,13
254,9
255,23
256,10
257,23
258,13
259,8
260,23
261,9
262,10
263,13
264,23
265,23
266,13
267,9
268,10
269,8
270,23
271,13
272,23
273,10
274,9
275,8
276,23
277,13
278,16
279,16
280,16
281,16
282,16
283,23
284,16
285,10
286,16
287,16
288,9
289,16
290,13
291,16
292,23
293,8
294,16
295,16
296,10
297,16
298,23
299,13
300,16
301,9
302,16
303,16
304,23
305,8
306,13
307,10
308,16
309,16
310,23
311,9
312,16
313,13
314,16
315,23
316,10
317,8
318,16
319,16
320,23
321,13
322,9
323,16
324,10
325,23
326,16
327,8
328,13
329,16
330,9
331,23
332,10
333,16
334,13
335,16
336,23
337,8
338,16
339,9
340,10
341,13
342,23
343,16
344,16
345,23
346,8
347,10
348,13
349,9
350,16
351,23
352,16
353,13
354,10
355,16
356,8
357,9
358,23
359,21
360,21
361,21
362,21
363,21
364,21
365,16
366,21
367,13
368,21
369,21
370,10
371,23
372,21
373,16
374,21
375,9
376,21
377,8
378,21
379,13
380,16
381,23
382,21
383,21
384,10
385,21
386,16
387,21
388,23
389,9
390,13
391,8
392,21
393,16
394,21
395,10
396,23
397,21
398,16
399,13
400,21
401,9
402,21
403,16
404,8
405,23
406,10
407,21
408,13
409,21
410,16
411,23
412,9
413,21
414,10
415,16
416,8
417,21
418,13
419,23
420,21
421,16
422,9
423,21
424,10
425,13
426,23
427,16
428,21
429,8
430,21
431,16
432,13
433,9
434,23
435,10
436,21
437,16
438,21
439,8
440,23
441,13
442,21
443,10
444,9
445,16
446,34
447,34
448,34
449,34
450,34
451,34
452,21
453,34
454,23
455,34
456,34
457,16
458,34
459,13
460,8
461,21
462,34
463,34
464,10
465,34
466,9
467,23
468,21
469,34
470,16
471,34
472,13
473,34
474,21
475,34
476,8
477,16
478,23
479,10
480,34
481,21
482,9
483,34
484,13
485,34
486,16
487,21
488,23
489,34
490,10
491,8
492,34
493,21
494,16
495,9
496,34
497,13
498,23
499,34
500,21
501,16
502,34
503,10
504,21
505,4
506,13
507,34
508,23
509,4
510,16
511,34
512,21
513,34
514,10
515,23
516,13
517,16
518,21
519,34
520,4
521,4
522,34
523,21
524,16
525,23
526,10
527,34
528,13
529,21
530,34
531,4
532,4
533,16
534,23
535,34
536,38
537,21
538,38
539,38
540,13
541,10
542,38
543,38
544,38
545,34
546,38
547,38
548,16
549,38
550,38
551,21
552,23
553,34
554,38
555,4
556,38
557,4
558,38
559,13
560,4
561,34
562,38
563,16
564,21
565,38
566,38
567,23
568,34
569,38
570,21
571,4
572,16
573,38
574,13
575,34
576,4
577,38
578,4
579,38
580,23
581,21
582,34
583,38
584,16
585,38
586,13
587,34
588,4
589,21
590,38
591,4
592,23
593,4
594,16
595,38
596,34
597,21
598,38
599,4
600,34
601,38
602,23
603,4
604,16
605,4
606,38
607,21
608,34
609,4
610,38
611,4
612,16
613,23
614,38
615,34
616,21
617,4
618,4
619,38
620,34
621,21
622,38
623,4
624,16
625,4
626,23
627,38
628,34
629,21
630,4
631,4
632,38
633,16
634,24
635,24
636,24
637,34
638,24
639,24
640,23
641,24
642,4
643,24
644,38
645,24
646,4
647,24
648,21
649,24
650,34
651,24
652,38
653,16
654,24
655,4
656,24
657,4
658,23
659,24
660,38
661,21
662,4
663,34
664,24
665,24
666,38
667,16
668,4
669,24
670,34
671,24
672,21
673,4
674,38
675,4
676,24
677,4
678,4
679,24
680,16
681,34
682,38
683,24
684,21
685,24
686,4
687,38
688,4
689,34
690,24
691,4
692,16
693,4
694,24
695,4
696,21
697,38
698,24
699,34
700,4
701,38
702,24
703,16
704,4
705,21
706,4
707,24
708,4
709,34
710,38
711,4
712,24
713,4
714,24
715,21
716,38
717,16
718,34
719,24
720,4
721,4
722,4
723,38
724,24
725,34
726,21
727,4
728,4
729,16
730,24
731,38
732,34
733,24
734,4
735,4
736,19
737,21
738,19
739,19
740,19
741,38
742,19
743,19
744,4
745,19
746,16
747,24
748,4
749,19
750,19
751,4
752,34
753,19
754,19
755,38
756,24
757,19
758,21
759,19
760,4
761,19
762,24
763,4
764,16
765,34
766,38
767,19
768,4
769,19
770,4
771,24
772,19
773,21
774,4
775,19
776,38
777,34
778,24
779,19
780,16
781,4
782,19
783,4
784,4
785,38
786,24
787,21
788,19
789,34
790,19
791,4
792,24
793,4
794,16
795,19
796,38
797,4
798,21
799,19
800,4
801,24
802,34
803,4
804,19
805,38
806,19
807,24
808,4
809,21
810,4
811,34
812,19
813,4
814,4
815,38
816,4
817,24
818,19
819,4
820,19
821,4
822,24
823,34
824,38
825,21
826,19
827,4
828,4
829,24
830,4
831,4
832,19
833,38
834,34
835,4
836,4
837,21
838,19
839,24
840,38
841,19
842,15
843,15
844,15
845,15
846,4
847,34
848,15
849,24
850,4
851,15
852,15
853,19
854,15
855,21
856,4
857,15
858,4
859,4
860,15
861,38
862,15
863,4
864,24
865,19
866,15
867,34
868,15
869,15
870,19
871,4
872,15
873,21
874,24
875,38
876,4
877,15
878,4
879,19
880,15
881,34
882,4
883,15
884,4
885,24
886,4
887,19
888,38
889,15
890,4
891,4
892,15
893,4
894,19
895,4
896,24
897,15
898,34
899,38
900,15
901,19
902,15
903,4
904,24
905,4
906,4
907,4
908,15
909,4
910,4
911,19
912,4
913,38
914,15
915,4
916,24
917,15
918,19
919,4
920,15
921,4
922,38
923,4
924,24
925,19
926,4
927,4
928,15
929,4
930,4
931,15
932,4
933,19
934,38
935,24
936,4
937,4
938,15
939,19
940,15
941,4
942,4
943,24
944,4
945,4
946,38
947,15
948,4
949,4
950,19
951,4
952,4
953,15
954,25
955,24
956,25
957,25
958,25
959,25
960,25
961,19
962,38
963,25
964,4
965,25
966,15
967,4
968,25
969,4
970,25
971,4
972,4
973,25
974,24
975,4
976,15
977,19
978,25
979,4
980,25
981,38
982,25
983,4
984,15
985,25
986,4
987,19
988,24
989,4
990,25
991,4
992,15
993,4
994,25
995,25
996,4
997,19
998,4
999,25
1000,15
1001,4
1002,24
1003,4
1004,25
1005,4
1006,4
1007,15
1008,25
1009,4
1010,19
1011,4
1012,4
1013,4
1014,25
1015,24
1016,15
1017,25
1018,19
1019,4
1020,4
1021,25
1022,4
1023,4
1024,15
1025,4
1026,4
1027,24
1028,25
1029,4
1030,19
1031,4
1032,25
1033,15
1034,4
1035,25
1036,4
1037,24
1038,4
1039,19
1040,15
1041,25
1042,4
1043,4
1044,4
1045,4
1046,4
1047,25
1048,15
1049,4
1050,19
1051,24
1052,4
1053,25
1054,4
1055,4
1056,15
1057,25
1058,4
1059,19
1060,4
1061,24
1062,4
1063,4
1064,25
1065,15
1066,4
1067,4
1068,4
1069,4
1070,25
1071,29
1072,29
1073,29
1074,29
1075,19
1076,29
1077,29
1078,29
1079,15
1080,24
1081,29
1082,25
1083,29
1084,4
1085,29
1086,4
1087,4
1088,4
1089,29
1090,4
1091,19
1092,25
1093,29
1094,15
1095,4
1096,29
1097,4
1098,29
1099,24
1100,4
1101,25
1102,29
1103,4
1104,15
1105,29
1106,19
1107,4
1108,4
1109,29
1110,25
1111,4
1112,4
1113,29
1114,24
1115,15
1116,29
1117,25
1118,4
1119,4
1120,19
1121,29
1122,4
1123,4
1124,4
1125,29
1126,25
1127,4
1128,15
1129,29
1130,24
1131,4
1132,4
1133,4
1134,19
1135,25
1136,29
1137,15
1138,29
1139,4
1140,25
1141,4
1142,29
1143,24
1144,4
1145,4
1146,19
1147,4
1148,4
1149,4
1150,15
1151,29
1152,25
1153,4
1154,29
1155,4
1156,4
1157,19
1158,24
1159,15
1160,25
1161,29
1162,4
1163,4
1164,4
1165,29
1166,4
1167,25
1168,4
1169,15
1170,4
1171,19
1172,29
1173,4
1174,4
1175,24
1176,25
1177,29
1178,4
1179,15
1180,4
1181,4
1182,29
1183,19
1184,25
1185,4
1186,4
1187,24
1188,4
1189,22
1190,22
1191,29
1192,22
1193,22
1194,22
1195,4
1196,15
1197,22
1198,4
1199,22
1200,25
1201,22
1202,4
1203,29
1204,22
1205,19
1206,22
1207,4
1208,22
1209,4
1210,22
1211,4
1212,29
1213,15
1214,25
1215,4
1216,22
1217,4
1218,22
1219,4
1220,4
1221,29
1222,19
1223,22
1224,4
1225,22
1226,25
1227,15
1228,22
1229,4
1230,29
1231,4
1232,4
1233,22
1234,4
1235,4
1236,4
1237,22
1238,19
1239,25
1240,29
1241,22
1242,15
1243,4
1244,4
1245,22
1246,29
1247,4
1248,4
1249,4
1250,25
1251,22
1252,4
1253,19
1254,4
1255,15
1256,22
