#Idx,EeV,g,rIn,v,J,ECB,Group
1,-9.753634e+00,6.000000e+00,1.992985e+00,0,0,9.753634e+00,1
2,-9.753140e+00,9.000000e+00,1.992996e+00,0,1,9.753142e+00,1
3,-9.752153e+00,3.000000e+01,1.993019e+00,0,2,9.752161e+00,1
4,-9.750672e+00,2.100000e+01,1.993053e+00,0,3,9.750694e+00,1
5,-9.748698e+00,5.400000e+01,1.993098e+00,0,4,9.748744e+00,1
6,-9.746231e+00,3.300000e+01,1.993155e+00,0,5,9.746315e+00,1
7,-9.743270e+00,7.800000e+01,1.993223e+00,0,6,9.743407e+00,1
8,-9.739816e+00,4.500000e+01,1.993303e+00,0,7,9.740026e+00,1
9,-9.735869e+00,1.020000e+02,1.993394e+00,0,8,9.736172e+00,1
10,-9.731429e+00,5.700000e+01,1.993496e+00,0,9,9.731850e+00,1
11,-9.726497e+00,1.260000e+02,1.993610e+00,0,10,9.727061e+00,1
12,-9.721071e+00,6.900000e+01,1.993735e+00,0,11,9.721807e+00,1
13,-9.715153e+00,1.500000e+02,1.993872e+00,0,12,9.716093e+00,1
14,-9.708743e+00,8.100000e+01,1.994020e+00,0,13,9.709920e+00,1
15,-9.701842e+00,1.740000e+02,1.994179e+00,0,14,9.703290e+00,1
16,-9.694448e+00,9.300000e+01,1.994350e+00,0,15,9.696207e+00,1
17,-9.686563e+00,1.980000e+02,1.994532e+00,0,16,9.688672e+00,1
18,-9.678186e+00,1.050000e+02,1.994726e+00,0,17,9.680688e+00,1
19,-9.669319e+00,2.220000e+02,1.994931e+00,0,18,9.672257e+00,1
20,-9.659961e+00,1.170000e+02,1.995148e+00,0,19,9.663381e+00,1
21,-9.650112e+00,2.460000e+02,1.995375e+00,0,20,9.654061e+00,1
22,-9.639774e+00,1.290000e+02,1.995615e+00,0,21,9.644300e+00,1
23,-9.628946e+00,2.700000e+02,1.995866e+00,0,22,9.634099e+00,1
24,-9.617629e+00,1.410000e+02,1.996128e+00,0,23,9.623460e+00,1
25,-9.605823e+00,2.940000e+02,1.996402e+00,0,24,9.612385e+00,1
26,-9.593529e+00,1.530000e+02,1.996687e+00,0,25,9.600875e+00,1
27,-9.580747e+00,3.180000e+02,1.996984e+00,0,26,9.588932e+00,1
28,-9.567477e+00,1.650000e+02,1.997293e+00,0,27,9.576558e+00,1
29,-9.553720e+00,3.420000e+02,1.997613e+00,0,28,9.563755e+00,1
30,-9.539476e+00,1.770000e+02,1.997944e+00,0,29,9.550524e+00,1
31,-9.524746e+00,3.660000e+02,1.998287e+00,0,30,9.536868e+00,1
32,-9.509531e+00,1.890000e+02,1.998642e+00,0,31,9.522788e+00,1
33,-9.493831e+00,3.900000e+02,1.999008e+00,0,32,9.508287e+00,1
34,-9.477646e+00,2.010000e+02,1.999386e+00,0,33,9.493368e+00,1
35,-9.465008e+00,6.000000e+00,1.939280e+00,1,0,9.465008e+00,1
36,-9.464518e+00,9.000000e+00,1.939291e+00,1,1,9.464520e+00,1
37,-9.463540e+00,3.000000e+01,1.939313e+00,1,2,9.463548e+00,1
38,-9.462073e+00,2.100000e+01,1.939346e+00,1,3,9.462094e+00,1
39,-9.460977e+00,4.140000e+02,1.999775e+00,0,34,9.478031e+00,1
40,-9.460116e+00,5.400000e+01,1.939390e+00,1,4,9.460162e+00,1
41,-9.457671e+00,3.300000e+01,1.939445e+00,1,5,9.457754e+00,1
42,-9.454736e+00,7.800000e+01,1.939511e+00,1,6,9.454873e+00,1
43,-9.451313e+00,4.500000e+01,1.939588e+00,1,7,9.451522e+00,1
44,-9.447401e+00,1.020000e+02,1.939677e+00,1,8,9.447704e+00,1
45,-9.443825e+00,2.130000e+02,2.000176e+00,0,35,9.462281e+00,1
46,-9.443000e+00,5.700000e+01,1.939776e+00,1,9,9.443421e+00,1
47,-9.438112e+00,1.260000e+02,1.939886e+00,1,10,9.438675e+00,1
48,-9.432735e+00,6.900000e+01,1.940007e+00,1,11,9.433471e+00,1
49,-9.426869e+00,1.500000e+02,1.940139e+00,1,12,9.427809e+00,1
50,-9.426190e+00,4.380000e+02,2.000589e+00,0,36,9.446119e+00,1
51,-9.420516e+00,8.100000e+01,1.940283e+00,1,13,9.421693e+00,1
52,-9.413676e+00,1.740000e+02,1.940437e+00,1,14,9.415125e+00,1
53,-9.408073e+00,2.250000e+02,2.001013e+00,0,37,9.429548e+00,1
54,-9.406348e+00,9.300000e+01,1.940603e+00,1,15,9.408107e+00,1
55,-9.398533e+00,1.980000e+02,1.940779e+00,1,16,9.400642e+00,1
56,-9.390231e+00,1.050000e+02,1.940967e+00,1,17,9.392733e+00,1
57,-9.389474e+00,4.620000e+02,2.001449e+00,0,38,9.412571e+00,1
58,-9.381442e+00,2.220000e+02,1.941165e+00,1,18,9.384380e+00,1
59,-9.372168e+00,1.170000e+02,1.941375e+00,1,19,9.375587e+00,1
60,-9.370394e+00,2.370000e+02,2.001897e+00,0,39,9.395190e+00,1
61,-9.362407e+00,2.460000e+02,1.941596e+00,1,20,9.366356e+00,1
62,-9.352161e+00,1.290000e+02,1.941828e+00,1,21,9.356686e+00,1
63,-9.350834e+00,4.860000e+02,2.002356e+00,0,40,9.377409e+00,1
64,-9.341429e+00,2.700000e+02,1.942071e+00,1,22,9.346582e+00,1
65,-9.330795e+00,2.490000e+02,2.002827e+00,0,41,9.359231e+00,1
66,-9.330213e+00,1.410000e+02,1.942325e+00,1,23,9.336044e+00,1
67,-9.318512e+00,2.940000e+02,1.942590e+00,1,24,9.325074e+00,1
68,-9.310277e+00,5.100000e+02,2.003310e+00,0,42,9.340658e+00,1
69,-9.306327e+00,1.530000e+02,1.942867e+00,1,25,9.313674e+00,1
70,-9.293659e+00,3.180000e+02,1.943154e+00,1,26,9.301845e+00,1
71,-9.289280e+00,2.610000e+02,2.003805e+00,0,43,9.321693e+00,1
72,-9.280508e+00,1.650000e+02,1.943453e+00,1,27,9.289589e+00,1
73,-9.267806e+00,5.340000e+02,2.004311e+00,0,44,9.302339e+00,1
74,-9.266873e+00,3.420000e+02,1.943763e+00,1,28,9.276909e+00,1
75,-9.252757e+00,1.770000e+02,1.944084e+00,1,29,9.263805e+00,1
76,-9.245856e+00,2.730000e+02,2.004829e+00,0,45,9.282600e+00,1
77,-9.238159e+00,3.660000e+02,1.944416e+00,1,30,9.250280e+00,1
78,-9.223430e+00,5.580000e+02,2.005359e+00,0,46,9.262476e+00,1
79,-9.223079e+00,1.890000e+02,1.944760e+00,1,31,9.236336e+00,1
80,-9.207519e+00,3.900000e+02,1.945115e+00,1,32,9.221976e+00,1
81,-9.200528e+00,2.850000e+02,2.005901e+00,0,47,9.241972e+00,1
82,-9.191479e+00,2.010000e+02,1.945480e+00,1,33,9.207201e+00,1
83,-9.179834e+00,6.000000e+00,1.904774e+00,2,0,9.179834e+00,2
84,-9.179350e+00,9.000000e+00,1.904785e+00,2,1,9.179351e+00,2
85,-9.178380e+00,3.000000e+01,1.904806e+00,2,2,9.178388e+00,2
86,-9.177152e+00,5.820000e+02,2.006454e+00,0,48,9.221089e+00,1
87,-9.176926e+00,2.100000e+01,1.904839e+00,2,3,9.176947e+00,2
88,-9.174987e+00,5.400000e+01,1.904882e+00,2,4,9.175033e+00,2
89,-9.174959e+00,4.140000e+02,1.945858e+00,1,34,9.192013e+00,1
90,-9.172563e+00,3.300000e+01,1.904936e+00,2,5,9.172647e+00,2
91,-9.169655e+00,7.800000e+01,1.905001e+00,2,6,9.169793e+00,2
92,-9.166263e+00,4.500000e+01,1.905076e+00,2,7,9.166472e+00,2
93,-9.162386e+00,1.020000e+02,1.905163e+00,2,8,9.162689e+00,2
94,-9.158025e+00,5.700000e+01,1.905260e+00,2,9,9.158445e+00,2
95,-9.157960e+00,2.130000e+02,1.946246e+00,1,35,9.176416e+00,1
96,-9.153303e+00,2.970000e+02,2.007020e+00,0,49,9.199830e+00,1
