#Idx,Group
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,2
36,2
37,2
38,2
39,1
40,2
41,2
42,2
43,2
44,2
45,1
46,2
47,2
48,2
49,2
50,1
51,2
52,2
53,1
54,2
55,2
56,2
57,1
58,2
59,2
60,1
61,2
62,2
63,1
64,2
65,1
66,2
67,2
68,1
69,2
70,2
71,1
72,2
73,1
74,2
75,2
76,1
77,2
78,1
79,2
80,2
81,1
82,2
83,3
84,3
85,3
86,1
87,3
88,3
89,2
90,3
91,3
92,3
93,3
94,3
95,2
96,1
97,3
98,3
99,3
100,2
101,3
102,1
103,3
104,2
105,3
106,3
107,3
108,1
109,2
110,3
111,3
112,2
113,1
114,3
115,3
116,2
117,3
118,1
119,3
120,2
121,3
122,1
123,2
124,3
125,3
126,2
127,1
128,3
129,2
130,3
131,1
132,3
133,2
134,3
135,1
136,3
137,2
138,3
139,1
140,2
141,3
142,4
143,4
144,4
145,4
146,2
147,4
148,3
149,4
150,16
151,4
152,4
153,4
154,4
155,3
156,4
157,2
158,4
159,4
160,16
161,3
162,4
163,4
164,2
165,4
166,3
167,4
168,16
169,4
170,3
171,2
172,4
173,4
174,3
175,16
176,4
177,2
178,4
179,3
180,4
181,2
182,16
183,4
184,3
185,4
186,2
187,3
188,4
189,16
190,4
191,3
192,2
193,4
194,16
195,4
196,3
197,2
198,4
199,3
200,16
201,4
202,2
203,4
204,3
205,4
206,16
207,3
208,2
209,4
210,5
211,5
212,5
213,5
214,5
215,3
216,4
217,5
218,16
219,5
220,17
221,5
222,5
223,5
224,4
225,5
226,3
227,5
228,5
229,4
230,17
231,16
232,5
233,5
234,3
235,5
236,4
237,5
238,17
239,5
240,16
241,4
242,3
243,5
244,5
245,4
246,17
247,5
248,3
249,16
250,5
251,4
252,5
253,3
254,17
255,5
256,4
257,5
258,16
259,4
260,3
261,5
262,17
263,5
264,4
265,16
266,5
267,3
268,17
269,5
270,4
271,5
272,3
273,16
274,4
275,5
276,17
277,3
278,5
279,4
280,16
281,5
282,17
283,4
284,3
285,5
286,6
287,6
288,6
289,6
290,6
291,6
292,5
293,4
294,6
295,16
296,17
297,6
298,18
299,6
300,6
301,5
302,6
303,6
304,4
305,6
306,5
307,6
308,18
309,17
310,16
311,6
312,4
313,6
314,5
315,6
316,18
317,6
318,5
319,17
320,4
321,6
322,16
323,6
324,5
325,6
326,18
327,4
328,6
329,17
330,5
331,6
332,16
333,4
334,6
335,18
336,5
337,6
338,17
339,5
340,6
341,4
342,16
343,18
344,6
345,5
346,6
347,4
348,17
349,6
350,18
351,5
352,16
353,6
354,4
355,5
356,17
357,6
358,18
359,6
360,4
361,5
362,16
363,6
364,17
365,18
366,5
367,4
368,6
369,7
370,7
371,7
372,7
373,7
374,16
375,7
376,6
377,7
378,5
379,7
380,18
381,17
382,7
383,19
384,7
385,6
386,7
387,7
388,5
389,7
390,6
391,7
392,19
393,16
394,18
395,7
396,17
397,7
398,5
399,6
400,7
401,7
402,19
403,6
404,7
405,5
406,18
407,16
408,7
409,17
410,6
411,7
412,19
413,5
414,7
415,6
416,18
417,7
418,17
419,16
420,7
421,5
422,6
423,19
424,7
425,18
426,7
427,6
428,5
429,19
430,7
431,17
432,16
433,6
434,7
435,5
436,18
437,7
438,6
439,19
440,17
441,7
442,5
443,16
444,6
445,7
446,18
447,19
448,7
449,5
450,6
451,17
452,7
453,16
454,18
455,19
456,6
457,5
458,7
459,8
460,8
461,8
462,8
463,8
464,8
465,7
466,8
467,6
468,17
469,8
470,8
471,19
472,20
473,18
474,8
475,8
476,7
477,16
478,8
479,6
480,8
481,8
482,7
483,20
484,8
485,17
486,19
487,8
488,18
489,6
490,7
491,8
492,16
493,8
494,20
495,7
496,8
497,6
498,19
499,8
500,17
501,18
502,7
503,8
504,20
505,6
506,8
507,16
508,7
509,8
510,19
511,8
512,18
513,6
514,17
515,7
516,20
517,8
518,8
519,19
520,7
521,6
522,16
523,8
524,20
525,18
526,7
527,17
528,8
529,6
530,19
531,8
532,7
533,20
534,16
535,8
536,18
537,6
538,7
539,17
540,8
541,19
542,20
543,8
544,6
545,7
546,18
547,8
548,16
549,19
550,17
551,7
552,20
553,8
554,6
555,9
556,9
557,9
558,9
559,9
560,9
561,9
562,8
563,9
564,7
565,9
566,18
567,9
568,21
569,20
570,16
571,9
572,19
573,8
574,9
575,17
576,9
577,7
578,9
579,8
580,9
581,21
582,9
583,20
584,18
585,7
586,8
587,19
588,9
589,9
590,16
591,17
592,8
593,9
594,21
595,7
596,9
597,20
598,8
599,9
600,18
601,19
