Id,bin
1,52
2,52
3,52
4,52
5,52
6,52
7,52
8,52
9,52
10,52
11,52
12,52
13,52
14,52
15,52
16,52
17,52
18,52
19,52
20,52
21,52
22,52
23,52
24,41
25,52
26,41
27,41
28,41
29,41
30,41
31,41
32,41
33,41
34,54
35,54
36,54
37,54
38,54
39,41
40,54
41,54
42,54
43,54
44,54
45,41
46,54
47,54
48,54
49,41
50,54
51,54
52,54
53,41
54,54
55,54
56,41
57,54
58,54
59,41
60,54
61,54
62,41
63,54
64,41
65,54
66,54
67,41
68,35
69,54
70,41
71,35
72,41
73,35
74,35
75,41
76,35
77,41
78,35
79,35
80,41
81,39
82,39
83,39
84,39
85,39
86,39
87,35
88,39
89,39
90,39
91,41
92,39
93,35
94,39
95,39
96,39
97,35
98,41
99,39
100,39
101,39
102,35
103,39
104,41
105,39
106,35
107,39
108,41
109,39
110,35
111,39
112,39
113,35
114,41
115,39
116,39
117,35
118,41
119,39
120,35
121,45
122,41
123,39
124,35
125,45
126,41
127,35
128,45
129,45
130,35
131,57
132,45
133,35
134,45
135,41
136,45
137,35
138,49
139,49
140,49
141,49
142,49
143,49
144,45
145,49
146,49
147,57
148,49
149,49
150,35
151,45
152,49
153,49
154,49
155,57
156,45
157,49
158,35
159,49
160,49
161,45
162,49
163,35
164,57
165,49
166,45
167,49
168,49
169,35
170,45
171,57
172,49
173,49
174,45
175,35
176,49
177,57
178,40
179,45
180,35
181,40
182,45
183,40
184,57
185,40
186,35
187,45
188,40
189,57
190,40
191,35
192,45
193,40
194,45
195,57
196,35
197,40
198,40
199,45
200,35
201,57
202,40
203,38
204,38
205,38
206,45
207,38
208,38
209,38
210,38
211,40
212,38
213,38
214,60
215,38
216,45
217,38
218,57
219,40
220,38
221,38
222,38
223,40
224,35
225,45
226,38
227,38
228,57
229,40
230,38
231,45
232,38
233,60
234,40
235,38
236,38
237,57
238,45
239,40
240,38
241,60
242,38
243,40
244,45
245,38
246,57
247,38
248,60
249,40
250,38
251,45
252,40
253,51
254,57
255,60
256,38
257,45
258,40
259,51
260,60
261,51
262,57
263,40
264,45
265,51
266,40
267,51
268,45
269,60
270,57
271,51
272,40
273,45
274,51
275,26
276,26
277,60
278,26
279,26
280,26
281,40
282,26
283,57
284,26
285,51
286,26
287,26
288,26
289,59
290,26
291,40
292,51
293,26
294,60
295,26
296,26
297,57
298,51
299,26
300,45
301,40
302,26
303,51
304,26
305,60
306,26
307,40
308,59
309,51
310,26
311,57
312,26
313,60
314,40
315,51
316,26
317,59
318,26
319,51
320,57
321,26
322,40
323,60
324,26
325,51
326,59
327,26
328,40
329,56
330,51
331,57
332,60
333,59
334,26
335,40
336,51
337,56
338,56
339,57
340,51
341,59
342,40
343,60
344,56
345,51
346,56
347,58
348,59
349,57
350,60
351,56
352,51
353,56
354,58
355,20
356,20
357,20
358,20
359,20
360,59
361,20
362,51
363,20
364,20
365,56
366,60
367,20
368,57
369,20
370,58
371,20
372,56
373,51
374,20
375,20
376,59
377,20
378,56
379,20
380,60
381,51
