#Idx,Group
1,43
2,43
3,43
4,43
5,43
6,43
7,43
8,43
9,43
10,43
11,43
12,43
13,43
14,43
15,43
16,43
17,43
18,43
19,43
20,43
21,43
22,43
23,43
24,43
25,43
26,43
27,43
28,43
29,43
30,43
31,43
32,43
33,43
34,39
35,39
36,39
37,39
38,39
39,39
40,39
41,43
42,39
43,39
44,39
45,39
46,43
47,39
48,39
49,39
50,43
51,39
52,39
53,43
54,39
55,39
56,43
57,39
58,39
59,43
60,39
61,39
62,43
63,39
64,39
65,43
66,39
67,43
68,39
69,39
70,43
71,39
72,39
73,43
74,39
75,43
76,39
77,39
78,43
79,39
80,33
81,33
82,33
83,33
84,43
85,33
86,33
87,33
88,39
89,33
90,33
91,33
92,33
93,43
94,39
95,33
96,33
97,33
98,39
99,43
100,33
101,33
102,39
103,33
104,33
105,40
106,39
107,33
108,33
109,40
110,39
111,33
112,33
113,39
114,33
115,40
116,33
117,39
118,33
119,40
120,33
121,39
122,33
123,40
124,39
125,33
126,33
127,39
128,40
129,33
130,39
131,33
132,40
133,33
134,39
135,40
136,33
137,26
138,26
139,26
140,26
141,26
142,39
143,26
144,26
145,33
146,26
147,26
148,26
149,40
150,26
151,39
152,33
153,26
154,26
155,26
156,33
157,26
158,39
159,40
160,26
161,33
162,26
163,26
164,39
165,40
166,33
167,26
168,26
169,33
170,39
171,26
172,40
173,26
174,33
175,26
176,39
177,26
178,33
179,40
180,26
181,39
182,26
183,33
184,26
185,40
186,39
187,33
188,26
189,26
190,33
191,40
192,39
193,26
194,33
195,26
196,39
197,40
198,26
199,33
200,26
201,39
202,42
203,42
204,42
205,42
206,42
207,42
208,40
209,33
210,42
211,42
212,26
213,42
214,42
215,42
216,39
217,26
218,33
219,42
220,42
221,40
222,42
223,26
224,42
225,33
226,39
227,42
228,26
229,42
230,40
231,42
232,33
233,42
234,26
235,39
236,42
237,26
238,42
239,33
240,40
241,42
242,39
243,26
244,42
245,33
246,42
247,26
248,40
249,39
250,42
251,33
252,42
253,26
254,42
255,39
256,40
257,33
258,26
259,42
260,42
261,26
262,33
263,49
264,40
265,42
266,26
267,42
268,33
269,49
270,42
271,26
272,40
273,42
274,37
275,37
276,37
277,33
278,37
279,37
280,37
281,26
282,37
283,49
284,37
285,42
286,37
287,37
288,40
289,37
290,33
291,42
292,37
293,26
294,37
295,37
296,49
297,42
298,37
299,26
300,37
301,33
302,40
303,37
304,42
305,37
306,49
307,26
308,37
309,42
310,33
311,37
312,40
313,37
314,42
315,26
316,49
317,37
318,33
319,42
320,37
321,26
322,37
323,40
324,42
325,49
326,37
327,49
328,26
329,37
330,42
331,37
332,40
333,49
334,49
335,26
336,42
337,37
338,37
339,42
340,26
341,49
342,37
343,40
344,49
345,42
346,37
347,26
348,49
349,37
350,42
351,49
352,40
353,37
354,38
355,38
356,38
357,38
358,38
359,26
360,38
361,38
362,42
363,38
364,49
365,37
366,38
367,38
368,38
369,49
370,38
371,37
372,26
373,42
374,40
375,38
376,38
377,49
378,37
379,38
380,42
381,38
382,26
383,38
384,49
385,37
386,38
387,40
388,49
389,42
390,38
391,37
392,26
393,38
394,38
395,49
396,37
397,42
398,38
399,49
400,40
401,26
402,37
403,38
404,42
405,38
406,49
407,37
408,38
409,49
410,26
411,42
412,40
413,38
414,37
415,38
416,49
417,26
418,37
419,42
420,49
421,38
422,38
423,40
424,37
425,42
426,38
427,26
428,49
429,49
430,37
431,38
432,42
433,38
434,40
435,26
436,37
437,49
438,36
439,36
440,38
441,49
442,36
443,36
444,36
445,36
446,42
447,36
448,37
449,36
450,38
451,36
452,26
453,36
454,36
455,40
456,36
457,38
458,49
459,42
460,37
461,36
462,49
463,36
464,38
465,36
466,26
467,36
468,37
469,42
470,36
471,38
472,49
473,40
474,36
475,49
476,36
477,37
478,26
479,38
480,36
481,42
482,36
483,38
484,49
485,37
486,36
487,40
488,26
489,49
490,36
491,42
492,38
493,37
494,36
495,38
496,49
497,36
498,26
499,42
500,36
501,37
502,40
503,38
504,49
505,36
506,42
507,38
508,36
509,49
510,37
511,26
512,36
513,38
514,49
515,40
516,36
517,37
518,42
519,26
520,49
521,36
522,38
523,37
524,36
525,42
526,49
527,38
528,40
529,23
530,23
531,23
532,36
533,26
534,23
535,23
536,49
537,23
538,23
539,37
540,23
541,38
542,23
543,36
544,23
545,42
546,23
547,23
548,36
549,49
550,23
551,38
552,37
553,49
554,40
555,23
556,49
557,23
558,36
559,42
560,23
561,38
562,23
563,37
564,36
565,23
566,49
567,49
568,23
569,38
570,49
571,36
572,42
573,40
574,23
575,37
576,23
577,36
578,38
579,23
580,49
581,42
582,23
583,49
584,36
585,37
586,49
587,23
588,38
589,40
590,36
591,23
592,49
593,37
594,4
595,23
596,38
597,36
598,49
599,49
600,23
601,23
602,40
603,36
604,37
605,38
606,49
607,4
608,23
609,36
610,49
611,23
612,49
613,38
614,37
615,4
616,23
617,36
618,49
619,40
620,38
621,23
622,37
623,36
624,49
625,41
626,41
627,41
628,23
629,41
630,49
631,41
632,41
633,4
634,41
635,49
636,41
637,38
638,36
639,41
640,23
641,41
642,41
643,37
644,40
645,41
646,23
647,41
648,36
649,38
650,49
651,4
652,41
653,49
654,41
655,49
656,23
657,41
658,37
659,36
660,41
661,23
662,38
663,41
664,40
665,4
666,41
667,49
668,36
669,23
670,41
671,37
672,49
673,49
674,38
675,41
676,23
677,41
678,36
679,4
680,41
681,23
682,37
683,40
684,38
685,49
686,49
687,41
688,36
689,49
690,23
691,41
692,4
693,41
694,38
695,37
696,36
697,23
698,41
699,49
700,49
701,40
702,41
703,23
704,36
705,38
706,49
707,4
708,37
709,41
710,23
711,41
712,36
713,49
714,49
715,38
716,41
717,40
718,23
719,4
720,4
721,49
722,41
723,36
724,23
725,38
726,35
727,35
728,35
729,35
730,41
731,35
732,49
733,35
734,35
735,49
736,4
737,35
738,36
739,35
740,4
741,23
742,41
743,35
744,40
745,35
746,47
747,35
748,49
749,41
750,35
751,23
752,35
753,36
754,4
755,49
756,35
757,41
758,49
759,4
760,35
761,47
762,23
763,35
764,41
765,36
766,35
767,40
768,35
769,49
770,4
771,41
772,23
773,49
774,35
775,47
776,4
777,35
778,47
779,49
780,41
781,35
782,23
783,4
784,35
785,41
786,47
787,40
788,47
789,35
790,49
791,49
792,4
793,23
794,35
795,41
796,49
797,35
798,4
799,47
800,47
801,23
802,41
803,35
804,4
805,49
806,35
807,40
808,49
809,41
810,23
811,47
812,35
813,4
814,47
815,49
816,41
817,35
818,23
819,4
820,47
821,49
822,35
823,41
824,47
825,49
826,4
827,40
828,35
829,23
830,49
831,41
832,21
833,21
834,21
835,47
836,21
