#Idx,Group
1,15
2,15
3,15
4,15
5,15
6,15
7,15
8,15
9,15
10,15
11,15
12,15
13,15
14,15
15,15
16,15
17,15
18,15
19,15
20,15
21,15
22,15
23,15
24,15
25,15
26,15
27,15
28,15
29,15
30,15
31,15
32,15
33,15
34,13
35,13
36,13
37,13
38,13
39,15
40,13
41,13
42,13
43,13
44,13
45,15
46,13
47,13
48,13
49,15
50,13
51,13
52,13
53,15
54,13
55,13
56,15
57,13
58,13
59,15
60,13
61,13
62,15
63,13
64,15
65,13
66,13
67,15
68,13
69,13
70,15
71,13
72,15
73,13
74,13
75,15
76,13
77,15
78,13
79,13
80,15
81,7
82,7
83,7
84,7
85,7
86,7
87,13
88,7
89,7
90,7
91,15
92,7
93,13
94,7
95,7
96,7
97,13
98,15
99,7
100,7
101,7
102,13
103,7
104,15
105,7
106,13
107,7
108,15
109,7
110,13
111,7
112,7
113,13
114,15
115,7
116,7
117,13
118,15
119,7
120,13
121,7
122,15
123,7
124,13
125,7
126,15
127,13
128,7
129,7
130,13
131,15
132,7
133,13
134,7
135,15
136,7
137,13
138,9
139,9
140,9
141,9
142,9
143,9
144,7
145,9
146,9
147,15
148,9
149,9
150,13
151,7
152,9
153,9
154,9
155,15
156,7
157,9
158,13
159,9
160,9
161,7
162,9
163,13
164,15
165,9
166,7
167,9
168,9
169,13
170,7
171,15
172,9
173,9
174,7
175,13
176,9
177,15
178,9
179,7
180,13
181,9
182,7
183,9
184,15
185,9
186,13
187,7
188,9
189,15
190,9
191,13
192,7
193,9
194,7
195,15
196,13
197,9
198,9
199,7
200,13
201,15
202,9
203,8
204,8
205,8
206,7
207,8
208,8
209,8
210,8
211,9
212,8
213,8
214,13
215,8
216,7
217,8
218,15
219,9
220,8
221,8
222,8
223,9
224,13
225,7
226,8
227,8
228,15
229,9
230,8
231,7
232,8
233,13
234,9
235,8
236,8
237,15
238,7
239,9
240,8
241,13
242,8
243,9
244,7
245,8
246,15
247,8
248,13
249,9
250,8
251,7
252,9
253,8
254,15
255,13
256,8
257,7
258,9
259,8
260,13
261,8
262,15
263,9
264,7
265,8
266,9
267,8
268,7
269,13
270,34
271,8
272,9
273,7
274,8
275,10
276,10
277,13
278,10
279,10
280,10
281,9
282,10
283,34
284,10
285,8
286,10
287,10
288,10
289,7
290,10
291,9
292,8
293,10
294,13
295,10
296,10
297,34
298,8
299,10
300,7
301,9
302,10
303,8
304,10
305,13
306,10
307,9
308,7
309,8
310,10
311,34
312,10
313,13
314,9
315,8
316,10
317,7
318,10
319,8
320,34
321,10
322,9
323,13
324,10
325,8
326,7
327,10
328,9
329,10
330,8
331,34
332,34
333,7
334,10
335,9
336,8
337,10
338,10
339,34
340,8
341,7
342,9
343,34
344,10
345,8
346,10
347,9
348,7
349,34
350,34
351,10
352,8
353,10
354,9
355,19
356,19
357,19
358,19
359,19
360,7
361,19
362,8
363,19
364,19
365,10
366,34
367,19
368,34
369,19
370,9
371,19
372,10
373,8
374,19
375,19
376,7
377,19
378,10
379,19
380,34
381,8
382,9
383,19
384,34
385,10
386,19
387,7
388,19
389,8
390,19
391,10
392,9
393,34
394,19
395,34
396,10
397,19
398,8
399,7
400,19
401,9
402,10
403,19
404,8
405,34
406,19
407,7
408,10
409,34
410,9
411,19
412,8
413,19
414,10
415,34
416,19
417,7
418,9
419,8
420,10
421,34
422,19
423,19
424,10
425,34
426,9
427,8
428,7
429,19
430,10
431,34
432,19
433,8
434,9
435,19
436,34
437,34
438,10
439,19
440,25
441,25
442,25
443,8
444,25
445,25
446,25
447,25
448,10
449,34
450,9
451,25
452,19
453,25
454,25
455,34
456,25
457,34
458,8
459,19
460,25
461,10
462,25
463,9
464,25
465,19
466,25
467,34
468,10
469,25
470,8
471,34
472,25
473,19
474,34
475,25
476,9
477,10
478,25
479,19
480,8
481,25
482,34
483,34
484,25
485,19
486,10
487,34
488,9
489,25
490,8
491,19
492,25
493,10
494,25
495,34
496,19
497,34
498,9
499,25
500,8
501,34
502,10
503,25
504,19
505,25
506,34
507,8
508,34
509,10
510,19
511,25
512,34
513,34
514,25
515,19
516,10
517,8
518,25
519,34
520,34
521,19
522,25
523,34
524,34
525,10
526,8
527,25
528,19
529,34
530,34
531,16
532,25
533,16
534,16
535,16
536,16
537,10
538,16
539,16
540,19
541,16
542,25
543,8
544,16
545,34
546,16
547,34
548,16
549,34
550,16
551,25
552,10
553,34
554,19
555,16
556,16
