######################################################################################################################################################
# jqn   : the rotational q.n. of the i'th quantum state
# vqn   : the vibrational q.n. of the i'th quantum state
# eint  : internal energy of i'th quantum state [Eh]
# egam  : Half width of i'th quantum state
# rmin  : the position of the potential minimum (included centrifugal potential) for i'th quantum state
# vmin  : the value of the potential minimun (inc. cent. pot.)
# vmax  : the value of the local potential maximum (inc. cent. pot.)
# tau   : the vibrational period of the i'th quantum state
# ri    : inner turning point
# ro    : outter turning point
# rmax  : location of maximum in centrifugal barrier
######################################################################################################################################################
#    vqn  jqn   eint            egam            rmin          rmax          vmin            vmax            tau           ri             ro
######################################################################################################################################################
     0    0  3.6092491E-03  0.0000000E+00  2.2820490E+00  2.0000000E+02 -2.1001227E-07  1.9151014E-01  8.7399366E+02  2.1907622E+00  2.3859610E+00
     0    1  3.6223439E-03  0.0000000E+00  2.2820498E+00  2.7818720E+01  1.2957871E-05  1.9151020E-01  8.7401142E+02  2.1907764E+00  2.3859772E+00
     0    2  3.6485330E-03  0.0000000E+00  2.2820925E+00  2.1371474E+01  3.9292903E-05  1.9151044E-01  8.7404694E+02  2.1908048E+00  2.3860096E+00
     0    3  3.6878152E-03  0.0000000E+00  2.2821277E+00  1.8150288E+01  7.8794301E-05  1.9151098E-01  8.7410024E+02  2.1908474E+00  2.3860582E+00
     0    4  3.7401892E-03  0.0000000E+00  2.2821957E+00  1.6120612E+01  1.3146029E-04  1.9151193E-01  8.7417131E+02  2.1909043E+00  2.3861229E+00
     0    5  3.8056527E-03  0.0000000E+00  2.2822725E+00  1.4690098E+01  1.9728892E-04  1.9151339E-01  8.7426016E+02  2.1909753E+00  2.3862039E+00
     0    6  3.8842031E-03  0.0000000E+00  2.2823550E+00  1.3611934E+01  2.7627758E-04  1.9151546E-01  8.7436682E+02  2.1910606E+00  2.3863011E+00
     0    7  3.9758374E-03  0.0000000E+00  2.2824834E+00  1.2761178E+01  3.6842309E-04  1.9151824E-01  8.7449128E+02  2.1911601E+00  2.3864145E+00
     0    8  4.0805518E-03  0.0000000E+00  2.2825991E+00  1.2067349E+01  4.7372175E-04  1.9152181E-01  8.7463358E+02  2.1912738E+00  2.3865441E+00
     0    9  4.1983422E-03  0.0000000E+00  2.2827212E+00  1.1487289E+01  5.9216947E-04  1.9152627E-01  8.7479373E+02  2.1914018E+00  2.3866899E+00
