Potential energy surface number:
         1
Diatom type:
        OO
Number of rotational levels:
       241
Number of vibrational levels:
        45
Number of ro-vibrational levels (total, bound, quasibound):
      6115      4581      1534
Rotational quantum number, Number of ro-vibrational levels (for this rotational level), jrdotjr [hbar^2], rmin [bohr], ediamin [hartree], rmax [bohr], ediamax [hartree]
          0         45  0.0000000000000000E+00  2.2820490195380909E+00 -2.1001227493155916E-07  2.0000000000000000E+02  1.9151013767477762E-01
          1         45  2.0000000000000000E+00  2.2820498381538217E+00  1.2957871026132851E-05  2.7818720027406982E+01  1.9151019722933127E-01
          2         44  6.0000000000000000E+00  2.2820924784070376E+00  3.9292903082219028E-05  2.1371473764079692E+01  1.9151044189824112E-01
          3         44  1.2000000000000000E+01  2.2821276641403534E+00  7.8794300735298811E-05  1.8150288335674915E+01  1.9151098484835974E-01
          4         44  2.0000000000000000E+01  2.2821957149932892E+00  1.3146029186967954E-04  1.6120612215055417E+01  1.9151193424655197E-01
          5         44  3.0000000000000000E+01  2.2822724676484309E+00  1.9728892115088259E-04  1.4690098388680735E+01  1.9151339355489419E-01
          6         44  4.2000000000000000E+01  2.2823550310251144E+00  2.7627757886159642E-04  1.3611933965446852E+01  1.9151546226104083E-01
          7         44  5.6000000000000000E+01  2.2824834459512719E+00  3.6842309416405448E-04  1.2761178081140736E+01  1.9151823647858354E-01
          8         43  7.2000000000000000E+01  2.2825990724332219E+00  4.7372175042907210E-04  1.2067348652361146E+01  1.9152180943955352E-01
          9         43  9.0000000000000000E+01  2.2827211904264999E+00  5.9216947220822340E-04  1.1487289368737230E+01  1.9152627190541308E-01
         10         43  1.1000000000000000E+02  2.2828689204454866E+00  7.2376157252979653E-04  1.0992549450356357E+01  1.9153171251658846E-01
         11         43  1.3200000000000000E+02  2.2830381110545113E+00  8.6849277298413710E-04  1.0563985736671020E+01  1.9153821809515328E-01
         12         43  1.5600000000000000E+02  2.2832296886311552E+00  1.0263573893322757E-03  1.0187605739521603E+01  1.9154587391110239E-01
         13         43  1.8200000000000000E+02  2.2834238730802525E+00  1.1973491355000692E-03  9.8535358338333214E+00  1.9155476391855600E-01
         14         42  2.1000000000000000E+02  2.2836231145331372E+00  1.3814612701545884E-03  9.5541947405268530E+00  1.9156497096306901E-01
         15         42  2.4000000000000000E+02  2.2838680327081327E+00  1.5786864537548082E-03  9.2837854653902934E+00  1.9157657695461083E-01
         16         42  2.7200000000000000E+02  2.2841109594651705E+00  1.7890168727775792E-03  9.0376266640287053E+00  1.9158966299397387E-01
         17         42  3.0600000000000000E+02  2.2843592009439804E+00  2.0124441269721055E-03  8.8123478618045574E+00  1.9160430943453557E-01
