id,Bin
1,24
2,24
3,24
4,24
5,24
6,24
7,24
8,24
9,24
10,24
11,24
12,24
13,24
14,24
15,24
16,24
17,24
18,24
19,24
20,24
21,24
22,24
23,24
24,24
25,24
26,24
27,24
28,24
29,24
30,24
31,24
32,24
33,24
34,8
35,8
36,8
37,8
38,8
39,24
40,8
41,8
42,8
43,8
44,8
45,24
46,8
47,8
48,8
49,24
50,8
51,8
52,8
53,24
54,8
55,8
56,24
57,8
58,8
59,24
60,8
61,8
62,24
63,8
64,24
65,8
66,8
67,24
68,8
69,8
70,24
71,8
72,24
73,8
74,8
75,24
76,8
77,24
78,8
79,8
80,24
81,10
82,10
83,10
84,10
85,10
86,10
87,8
88,10
89,10
90,10
91,24
92,10
93,8
94,10
95,10
96,10
97,8
98,24
99,10
100,10
101,10
102,8
103,10
104,24
105,10
106,8
107,10
108,24
109,10
110,8
111,10
112,10
113,8
114,24
115,10
116,10
117,8
118,24
119,10
120,8
121,10
122,24
123,10
124,8
125,10
126,24
127,8
128,10
129,10
130,8
131,24
132,10
133,8
134,10
135,24
136,10
137,8
138,9
139,9
140,9
141,9
142,9
143,9
144,10
145,9
146,9
147,24
148,9
149,9
150,8
151,10
152,9
153,9
154,9
155,24
156,10
157,9
158,8
159,9
160,9
161,10
162,9
163,8
164,24
165,9
166,10
167,9
168,9
169,8
170,10
171,24
172,9
173,9
174,10
175,8
176,9
177,24
178,9
179,10
180,8
181,9
182,10
183,9
184,24
185,9
186,8
187,10
188,9
189,24
190,9
191,8
192,10
193,9
194,10
195,24
196,8
197,9
198,9
199,10
200,8
201,24
202,9
203,2
204,2
205,2
206,10
207,2
208,2
209,2
210,2
211,9
212,2
213,2
214,8
215,2
216,10
217,2
218,24
219,9
220,2
221,2
222,2
223,9
224,8
225,10
226,2
227,2
228,6
229,9
230,2
231,10
232,2
233,8
234,9
235,2
236,2
237,6
238,10
239,9
240,2
241,8
242,2
243,9
244,10
245,2
246,6
247,2
248,8
249,9
250,2
251,10
252,9
253,2
254,6
255,8
256,2
257,10
258,9
259,2
260,8
261,2
262,6
263,9
264,10
265,2
266,9
267,2
268,10
269,8
270,6
271,2
272,9
273,10
274,2
275,2
276,2
277,8
278,2
279,2
280,2
281,9
282,2
283,6
284,2
285,2
286,2
287,2
288,2
289,10
290,2
291,9
292,2
293,2
294,33
295,2
296,2
297,6
298,2
299,2
300,10
301,9
302,2
303,2
304,2
305,33
306,2
307,9
308,10
309,2
310,2
311,6
312,2
313,33
314,9
315,2
316,2
317,10
318,2
319,2
320,6
321,2
322,9
323,33
324,2
325,2
326,10
327,2
328,9
329,2
330,2
331,6
332,33
333,10
334,2
335,9
336,2
337,2
338,2
339,6
340,2
341,10
342,9
343,33
344,2
345,2
346,2
347,9
348,10
349,6
350,33
351,2
352,2
353,2
354,9
355,17
356,17
357,17
358,17
359,17
360,10
361,17
362,2
363,17
364,17
365,2
366,33
367,17
368,6
369,17
370,9
371,17
372,2
373,2
374,17
375,17
376,10
377,17
378,2
379,17
380,33
381,2
382,9
383,17
384,6
385,2
386,17
387,10
388,17
389,2
390,17
391,2
392,9
393,33
394,17
395,6
396,2
397,17
398,2
399,10
400,17
401,9
402,2
403,17
404,2
405,33
406,17
407,10
408,2
409,6
410,9
411,17
412,2
413,17
414,2
415,33
416,17
417,10
418,9
419,2
420,2
421,6
422,17
423,17
424,2
425,33
426,9
427,2
428,10
429,17
430,2
431,6
432,17
433,2
434,9
435,17
436,33
437,25
438,2
439,17
440,1
441,1
442,1
443,2
444,1
445,1
446,1
447,1
448,2
449,6
450,9
451,1
452,17
453,1
454,1
455,25
456,1
457,33
458,2
459,17
460,1
461,2
462,1
463,9
464,1
465,17
466,1
467,6
468,2
469,1
470,2
471,25
472,1
473,17
474,33
475,1
476,9
477,2
478,1
479,17
480,2
481,1
482,25
483,6
484,1
485,17
486,2
487,33
488,9
489,1
490,2
491,17
492,1
493,2
494,1
495,25
496,17
497,6
498,9
499,1
500,2
501,33
502,2
503,1
504,17
505,1
506,25
507,2
508,9
509,2
510,17
511,1
512,6
513,33
514,1
515,17
516,2
517,2
518,1
519,25
520,9
521,17
522,1
523,6
524,33
525,2
526,2
527,1
528,17
529,9
530,25
531,1
532,1
533,1
534,1
535,1
536,1
537,2
538,1
539,1
540,17
541,1
542,1
543,2
544,1
545,33
546,1
547,6
548,1
549,9
550,1
551,1
552,2
553,25
554,17
555,1
556,1
557,2
558,1
559,1
560,1
561,17
562,2
563,33
564,1
565,9
566,1
567,6
568,1
569,25
570,2
571,1
572,17
573,1
574,2
575,1
576,1
577,9
578,1
579,17
580,33
581,1
582,2
583,25
584,6
585,2
586,1
587,1
588,17
589,1
590,9
591,1
592,1
593,11
594,2
595,33
596,25
597,1
598,17
599,1
600,6
601,1
602,9
603,2
604,1
605,1
606,17
607,11
608,1
609,33
610,25
611,1
612,17
613,1
614,2
615,6
616,9
617,11
618,1
619,1
620,17
621,1
622,25
623,33
624,2
625,1
626,15
627,11
628,15
629,15
630,1
631,15
632,31
633,15
634,15
635,6
636,15
637,17
638,15
639,1
640,15
641,1
642,2
643,15
644,15
645,25
646,15
647,1
648,33
649,11
650,15
651,17
652,1
653,31
654,15
655,15
656,1
657,2
658,6
659,15
660,1
661,15
662,17
663,1
664,11
665,25
666,15
667,33
668,15
669,31
670,1
671,1
672,2
673,15
674,17
675,15
676,1
677,6
678,1
679,11
680,15
681,25
682,11
683,15
684,31
685,1
686,17
687,33
688,15
689,1
690,1
691,15
692,11
693,11
694,17
695,6
696,15
697,1
698,25
699,1
700,31
701,15
702,33
703,15
704,1
705,17
706,11
707,1
708,11
709,15
710,1
711,25
712,31
713,6
714,15
715,1
716,17
717,33
718,11
719,11
720,15
721,1
722,1
723,15
724,17
725,1
726,31
727,25
728,3
729,3
730,3
731,15
732,3
733,3
734,6
735,11
736,3
737,3
738,11
739,3
740,1
741,3
742,1
743,15
744,33
745,3
746,3
747,17
748,3
749,15
750,3
751,31
752,1
753,1
754,11
755,3
756,25
757,11
758,3
759,15
760,3
761,6
762,11
763,1
764,3
765,33
766,15
767,1
768,3
769,11
770,31
771,3
772,15
773,1
774,11
775,25
776,3
777,11
778,1
779,3
780,15
781,6
782,3
783,1
784,11
785,33
786,3
787,15
788,11
789,31
790,1
791,11
792,3
793,1
794,25
795,15
796,3
797,11
798,3
799,1
800,11
801,1
802,15
803,6
804,33
805,3
806,31
807,11
808,3
809,15
810,25
811,1
812,1
813,11
814,11
815,3
816,15
817,3
818,11
819,1
820,31
821,6
822,1
823,33
824,3
825,15
826,11
827,11
828,25
829,3
830,1
831,15
832,1
833,3
834,3
835,3
836,3
837,3
838,3
839,11
840,3
841,31
842,3
843,11
844,3
845,3
846,1
847,11
848,3
849,15
850,33
851,6
852,3
853,3
854,3
855,1
856,25
857,3
858,3
859,15
860,3
861,1
862,11
863,11
864,3
865,3
866,31
867,3
868,11
869,1
870,3
871,15
872,3
873,33
874,3
875,1
876,6
877,25
878,3
879,11
880,3
881,15
882,11
883,3
884,1
885,11
886,3
887,31
888,1
889,3
890,3
891,15
892,3
893,11
894,33
895,3
896,1
897,25
898,6
899,1
900,3
901,11
902,11
903,15
904,3
905,3
906,31
907,3
908,11
909,1
910,1
911,15
912,3
913,3
914,33
915,11
916,11
917,25
918,3
919,3
920,6
921,15
922,1
923,3
924,31
925,11
926,1
927,3
928,3
929,15
930,11
931,1
932,11
933,3
934,3
935,33
936,25
937,1
938,11
939,3
940,18
941,15
942,31
943,5
944,3
945,5
946,5
947,5
948,5
949,1
950,3
951,5
952,5
953,5
954,11
955,5
956,1
957,11
958,3
959,15
960,5
961,3
962,11
963,5
964,5
965,25
966,33
967,1
968,5
969,3
970,5
971,31
972,3
973,15
974,5
975,18
976,3
977,1
978,11
979,5
980,5
981,11
982,11
983,3
984,1
985,3
986,5
987,15
988,5
989,25
990,3
991,33
992,5
993,1
994,3
995,31
996,11
997,5
998,1
999,11
1000,15
1001,18
1002,3
1003,5
1004,11
1005,3
1006,5
1007,3
1008,1
1009,5
1010,1
1011,15
1012,25
1013,3
1014,31
1015,11
1016,5
1017,33
1018,11
1019,3
1020,5
1021,11
1022,15
1023,18
1024,28
1025,3
1026,3
1027,5
1028,1
1029,5
1030,3
1031,11
1032,11
1033,16
1034,31
1035,3
1036,5
1037,15
1038,33
1039,1
1040,28
1041,11
1042,3
1043,5
1044,3
1045,5
1046,18
1047,15
1048,3
1049,11
1050,11
1051,1
1052,5
1053,28
1054,31
1055,16
1056,3
1057,5
1058,5
1059,5
1060,5
1061,3
1062,5
1063,5
1064,11
1065,5
1066,15
1067,5
1068,18
1069,5
1070,5
1071,5
1072,5
1073,11
1074,3
1075,3
1076,1
1077,5
1078,11
1079,5
1080,28
1081,18
1082,5
1083,5
1084,15
1085,5
1086,31
1087,3
1088,5
1089,16
1090,3
1091,11
1092,5
1093,5
1094,1
1095,5
1096,11
1097,18
1098,3
1099,5
1100,28
1101,5
1102,15
1103,11
1104,3
1105,5
1106,5
1107,5
1108,3
1109,18
1110,1
1111,16
1112,5
1113,11
1114,16
1115,15
1116,11
1117,5
1118,3
1119,5
1120,28
1121,3
1122,5
1123,11
1124,18
1125,5
1126,5
1127,1
1128,3
1129,15
1130,3
1131,5
1132,5
1133,16
1134,11
1135,28
1136,11
1137,18
1138,5
1139,16
1140,5
1141,5
1142,3
1143,3
1144,11
1145,1
1146,15
1147,5
1148,18
1149,5
1150,28
1151,3
1152,5
1153,11
1154,3
1155,16
1156,16
1157,4
1158,5
1159,5
1160,1
1161,16
1162,18
1163,11
1164,3
1165,5
1166,5
1167,3
1168,28
1169,5
1170,18
1171,11
1172,4
1173,13
1174,13
1175,13
1176,3
1177,1
1178,13
1179,13
1180,5
1181,13
1182,5
1183,16
1184,13
1185,16
1186,13
1187,3
1188,13
1189,11
1190,13
1191,5
1192,16
1193,13
1194,5
1195,3
1196,13
1197,18
1198,4
1199,28
1200,13
1201,5
1202,11
1203,28
1204,13
1205,3
1206,13
1207,5
1208,18
1209,3
1210,5
1211,13
1212,16
1213,13
1214,16
1215,16
1216,4
1217,13
1218,5
1219,5
1220,28
1221,3
1222,28
1223,13
1224,16
1225,3
1226,11
1227,13
1228,5
1229,18
1230,5
1231,13
1232,4
1233,5
1234,13
1235,16
1236,3
1237,18
1238,3
1239,16
1240,28
1241,16
1242,28
1243,13
1244,5
1245,5
1246,13
1247,11
1248,16
1249,4
1250,3
1251,13
1252,3
1253,5
1254,5
1255,13
1256,18
1257,28
1258,28
1259,16
1260,16
1261,5
1262,13
1263,5
1264,3
1265,18
1266,16
1267,4
1268,3
1269,11
1270,13
1271,5
1272,13
1273,5
1274,16
1275,28
1276,3
1277,28
1278,13
1279,5
1280,4
1281,16
1282,4
1283,16
1284,18
1285,13
1286,5
1287,11
1288,16
1289,5
1290,3
1291,18
1292,13
1293,28
1294,13
1295,13
1296,13
1297,13
1298,4
1299,13
1300,5
1301,28
1302,13
1303,5
1304,13
1305,13
1306,4
1307,16
1308,13
1309,13
1310,3
1311,13
1312,16
1313,13
1314,16
1315,13
1316,5
1317,11
1318,13
1319,5
1320,13
1321,4
1322,18
1323,13
1324,28
1325,16
1326,13
1327,4
1328,13
1329,28
1330,18
1331,3
1332,5
1333,13
1334,13
1335,5
1336,13
1337,16
1338,13
1339,16
1340,4
1341,13
1342,5
1343,21
1344,16
1345,13
1346,28
1347,3
1348,4
1349,5
1350,13
1351,13
1352,28
1353,16
1354,5
1355,13
1356,18
1357,13
1358,4
1359,13
1360,18
1361,3
1362,5
1363,13
1364,5
1365,16
1366,28
1367,21
1368,4
1369,13
1370,16
1371,13
1372,16
1373,28
1374,13
1375,5
1376,4
1377,5
1378,13
1379,3
1380,13
1381,16
1382,13
1383,18
1384,4
1385,13
1386,28
1387,5
1388,18
1389,5
1390,16
1391,21
1392,13
1393,3
1394,4
1395,16
1396,13
1397,28
1398,16
1399,13
1400,5
1401,5
1402,13
1403,4
1404,13
1405,16
1406,28
1407,3
1408,4
1409,13
1410,5
1411,21
1412,16
1413,26
1414,18
1415,5
1416,21
1417,13
1418,18
1419,22
1420,22
1421,22
1422,16
1423,22
1424,22
1425,22
1426,4
1427,16
1428,5
1429,22
1430,3
1431,13
1432,26
1433,22
1434,28
1435,22
1436,4
1437,22
1438,5
1439,22
1440,13
1441,16
1442,22
1443,26
1444,21
1445,5
1446,22
1447,16
1448,13
1449,21
1450,22
1451,3
1452,22
1453,4
1454,26
1455,22
1456,18
1457,4
1458,5
1459,16
1460,13
1461,18
1462,28
1463,5
1464,22
1465,16
1466,22
1467,13
1468,26
1469,3
1470,22
1471,21
1472,16
1473,23
1474,22
1475,21
1476,5
1477,4
1478,13
1479,16
1480,4
1481,22
1482,26
1483,28
1484,22
1485,13
1486,16
1487,3
1488,22
1489,5
1490,23
1491,18
1492,18
1493,26
1494,13
1495,22
1496,16
1497,4
1498,4
1499,21
1500,21
1501,22
1502,16
1503,16
1504,5
1505,26
1506,26
1507,21
1508,4
1509,22
1510,23
1511,22
1512,26
1513,16
1514,26
1515,4
1516,4
1517,5
1518,22
1519,18
1520,23
1521,21
1522,21
1523,26
1524,18
1525,4
1526,22
1527,16
1528,21
1529,26
1530,16
1531,22
1532,16
1533,5
1534,26
1535,4
1536,22
1537,23
1538,4
1539,26
1540,4
1541,16
1542,26
1543,22
1544,21
1545,22
1546,5
1547,22
1548,22
1549,21
1550,22
1551,22
1552,22
1553,21
1554,22
1555,22
1556,22
1557,26
1558,18
1559,26
1560,22
1561,18
1562,23
1563,18
1564,4
1565,16
1566,22
1567,22
1568,4
1569,22
1570,4
1571,16
1572,5
1573,22
1574,26
1575,22
1576,26
1577,22
1578,22
1579,16
1580,21
1581,22
1582,23
1583,21
1584,21
1585,22
1586,26
1587,4
1588,22
1589,5
1590,22
1591,4
1592,26
1593,22
1594,4
1595,16
1596,22
1597,18
1598,18
1599,26
1600,7
1601,18
1602,23
1603,16
1604,7
1605,5
1606,22
1607,26
1608,7
1609,21
1610,4
1611,21
1612,4
1613,26
1614,16
1615,21
1616,7
1617,22
1618,4
1619,7
1620,23
1621,26
1622,5
1623,26
1624,16
1625,7
1626,22
1627,7
1628,4
1629,18
1630,4
1631,18
1632,16
1633,21
1634,22
1635,21
1636,26
1637,26
1638,7
1639,18
1640,5
1641,23
1642,21
1643,4
1644,16
1645,7
1646,22
1647,26
1648,7
1649,26
1650,4
1651,16
1652,4
1653,22
1654,7
1655,5
1656,23
1657,21
1658,21
1659,26
1660,7
1661,18
1662,4
1663,22
1664,18
1665,16
1666,26
1667,21
1668,7
1669,18
1670,4
1671,16
1672,5
1673,26
1674,4
1675,22
1676,23
1677,7
1678,7
1679,7
1680,7
1681,7
1682,7
1683,26
1684,7
1685,16
1686,7
1687,21
1688,7
1689,7
1690,22
1691,7
1692,21
1693,26
1694,4
1695,7
1696,23
1697,7
1698,4
1699,7
1700,7
1701,23
1702,21
1703,18
1704,7
1705,26
1706,16
1707,22
1708,4
1709,18
1710,7
1711,7
1712,26
1713,16
1714,7
1715,18
1716,7
1717,23
1718,22
1719,7
1720,21
1721,7
1722,16
1723,4
1724,26
1725,4
1726,21
1727,7
1728,26
1729,23
1730,7
1731,7
1732,22
1733,4
1734,7
1735,21
1736,23
1737,7
1738,7
1739,26
1740,26
1741,16
1742,18
1743,22
1744,16
1745,7
1746,18
1747,4
1748,23
1749,21
1750,7
1751,4
1752,7
1753,16
1754,21
1755,18
1756,26
1757,4
1758,7
1759,23
1760,22
1761,26
1762,7
1763,7
1764,21
1765,7
1766,23
1767,7
1768,4
1769,22
1770,26
1771,4
1772,21
1773,16
1774,26
1775,7
1776,23
1777,18
1778,16
1779,7
1780,4
1781,21
1782,7
1783,18
1784,22
1785,16
1786,26
1787,7
1788,7
1789,23
1790,4
1791,18
1792,26
1793,23
1794,21
1795,22
1796,7
1797,7
1798,4
1799,21
1800,26
1801,7
1802,4
1803,16
1804,22
1805,16
1806,26
1807,23
1808,21
1809,7
1810,18
1811,7
1812,20
1813,20
1814,20
1815,20
1816,20
1817,23
1818,4
1819,20
1820,16
1821,20
1822,26
1823,18
1824,20
1825,7
1826,20
1827,7
1828,20
1829,22
1830,20
1831,21
1832,4
1833,7
1834,20
1835,26
1836,4
1837,21
1838,18
1839,20
1840,23
1841,7
1842,20
1843,26
1844,23
1845,7
1846,20
1847,22
1848,4
1849,21
1850,20
1851,16
1852,16
1853,7
1854,7
1855,20
1856,26
1857,18
1858,16
1859,20
1860,26
1861,22
1862,4
1863,7
1864,23
1865,4
1866,20
1867,23
1868,18
1869,21
1870,7
1871,21
1872,20
1873,4
1874,7
1875,20
1876,26
1877,22
1878,26
1879,18
1880,21
1881,20
1882,7
1883,7
1884,20
1885,23
1886,23
1887,16
