"J","v","rIn","rOut","DeltaR","E","DeltaEDiss","ERot","EVib","g","dVIn","dVOut","rMin","VMin","rMax","VMax","Tau","Egam"
0,0,2.19078e+00,2.38594e+00,2.29149e+00,-5.11305e+00,-5.11305e+00,0.00000e+00,0.00000e+00,2.00000e+00,0.00000e+00,0.00000e+00,2.28205e+00,-5.21122e+00,4.62857e+01,0.00000e+00,8.73994e+02,1.00000e-300
1,0,2.19080e+00,2.38595e+00,2.29151e+00,-5.11269e+00,-5.11269e+00,3.56328e-04,0.00000e+00,3.00000e+00,0.00000e+00,0.00000e+00,2.28206e+00,-5.21086e+00,2.70335e+01,1.93249e-06,8.74011e+02,1.00000e-300
2,0,2.19083e+00,2.38598e+00,2.29154e+00,-5.11198e+00,-5.11199e+00,1.06897e-03,0.00000e+00,1.00000e+01,0.00000e+00,0.00000e+00,2.28210e+00,-5.21014e+00,2.11626e+01,8.80127e-06,8.74047e+02,1.00000e-300
3,0,2.19087e+00,2.38603e+00,2.29158e+00,-5.11091e+00,-5.11093e+00,2.13790e-03,0.00000e+00,7.00000e+00,0.00000e+00,0.00000e+00,2.28214e+00,-5.20906e+00,1.80607e+01,2.37837e-05,8.74100e+02,1.00000e-300
4,0,2.19093e+00,2.38610e+00,2.29165e+00,-5.10948e+00,-5.10953e+00,3.56306e-03,0.00000e+00,1.80000e+01,0.00000e+00,0.00000e+00,2.28220e+00,-5.20763e+00,1.60724e+01,4.98280e-05,8.74171e+02,1.00000e-300
5,0,2.19100e+00,2.38618e+00,2.29172e+00,-5.10770e+00,-5.10779e+00,5.34442e-03,0.00000e+00,1.10000e+01,0.00000e+00,0.00000e+00,2.28228e+00,-5.20584e+00,1.46606e+01,8.97528e-05,8.74260e+02,1.00000e-300
6,0,2.19109e+00,2.38627e+00,2.29181e+00,-5.10556e+00,-5.10571e+00,7.48188e-03,0.00000e+00,2.60000e+01,0.00000e+00,0.00000e+00,2.28237e+00,-5.20369e+00,1.35920e+01,1.46268e-04,8.74367e+02,1.00000e-300
7,0,2.19119e+00,2.38639e+00,2.29192e+00,-5.10307e+00,-5.10329e+00,9.97538e-03,0.00000e+00,1.50000e+01,0.00000e+00,0.00000e+00,2.28247e+00,-5.20118e+00,1.27469e+01,2.21993e-04,8.74491e+02,1.00000e-300
8,0,2.19130e+00,2.38652e+00,2.29204e+00,-5.10022e+00,-5.10054e+00,1.28248e-02,0.00000e+00,3.40000e+01,0.00000e+00,0.00000e+00,2.28259e+00,-5.19831e+00,1.20566e+01,3.19465e-04,8.74634e+02,1.00000e-300
9,0,2.19143e+00,2.38666e+00,2.29218e+00,-5.09702e+00,-5.09746e+00,1.60300e-02,0.00000e+00,1.90000e+01,0.00000e+00,0.00000e+00,2.28273e+00,-5.19509e+00,1.14788e+01,4.41158e-04,8.74794e+02,1.00000e-300
