 ######################################################################################################################################################
 # jqn   : the rotational q.n. of the i'th quantum state
 # vqn   : the vibrational q.n. of the i'th quantum state
 # eint  : internal energy of i'th quantum state [Eh]
 # egam  : Half width of i'th quantum state
 # rmin  : the position of the potential minimum (included centrifugal potential) for i'th quantum state
 # vmin  : the value of the potential minimun (inc. cent. pot.)
 # vmax  : the value of the local potential maximum (inc. cent. pot.)
 # tau   : the vibrational period of the i'th quantum state
 # ri    : inner turning point
 # ro    : outter turning point
 # rmax  : location of maximum in centrifugal barrier
 ######################################################################################################################################################
 #   vqn  jqn      eint           egam           rmin           rmax           vmin           vmax            tau             ri             ro
 ######################################################################################################################################################
     0    0  3.6123541E-03  0.0000000E+00  2.2820503E+00  4.6284577E+01  1.6140915E-06  1.9151028E-01  8.7376309E+02  2.1907486E+00  2.3859830E+00
     0    1  3.6254592E-03  0.0000000E+00  2.2820654E+00  2.7033300E+01  1.4789189E-05  1.9151035E-01  8.7378085E+02  2.1907628E+00  2.3859992E+00
     0    2  3.6516689E-03  0.0000000E+00  2.2820955E+00  2.1162559E+01  4.1138863E-05  1.9151060E-01  8.7381641E+02  2.1907911E+00  2.3860317E+00
     0    3  3.6909821E-03  0.0000000E+00  2.2821407E+00  1.8060669E+01  8.0662069E-05  1.9151115E-01  8.7386972E+02  2.1908337E+00  2.3860805E+00
     0    4  3.7433972E-03  0.0000000E+00  2.2822010E+00  1.6072401E+01  1.3335724E-04  1.9151211E-01  8.7394086E+02  2.1908904E+00  2.3861455E+00
     0    5  3.8088423E-03  0.0000000E+00  2.2822764E+00  1.4660629E+01  1.9922229E-04  1.9151357E-01  8.7402963E+02  2.1909621E+00  2.3862256E+00
     0    6  3.8874546E-03  0.0000000E+00  2.2823668E+00  1.3592011E+01  2.7825461E-04  1.9151565E-01  8.7413635E+02  2.1910472E+00  2.3863231E+00
     0    7  3.9791611E-03  0.0000000E+00  2.2824723E+00  1.2746859E+01  3.7045106E-04  1.9151843E-01  8.7426090E+02  2.1911465E+00  2.3864369E+00
     0    8  4.0838880E-03  0.0000000E+00  2.2825929E+00  1.2056607E+01  4.7580799E-04  1.9152201E-01  8.7440315E+02  2.1912609E+00  2.3865659E+00
     0    9  4.2017712E-03  0.0000000E+00  2.2827287E+00  1.1478858E+01  5.9432123E-04  1.9152649E-01  8.7456339E+02  2.1913886E+00  2.3867122E+00
     0   10  4.3327361E-03  0.0000000E+00  2.2828796E+00  1.0985789E+01  7.2598608E-04  1.9153194E-01  8.7474154E+02  2.1915305E+00  2.3868749E+00
     0   11  4.4767073E-03  0.0000000E+00  2.2830454E+00  1.0558333E+01  8.7079731E-04  1.9153845E-01  8.7493744E+02  2.1916875E+00  2.3870527E+00
     0   12  4.6338192E-03  0.0000000E+00  2.2832267E+00  1.0182886E+01  1.0287492E-03  1.9154612E-01  8.7515144E+02  2.1918579E+00  2.3872480E+00
