#Level, vqn, jqn,        E [Eh],    Degeneracy,   Bin
     1,   0,   0,-4.2970234E+00, 2.0000000E+00,     1
     2,   0,   1,-4.2901177E+00, 6.0000000E+00,     1
     3,   0,   2,-4.2786173E+00, 1.0000000E+01,     1
     4,   0,   3,-4.2625357E+00, 1.4000000E+01,     1
     5,   0,   4,-4.2418915E+00, 1.8000000E+01,     1
     6,   0,   5,-4.2167093E+00, 2.2000000E+01,     1
     7,   0,   6,-4.1870181E+00, 2.6000000E+01,     1
     8,   0,   7,-4.1528526E+00, 3.0000000E+01,     1
     9,   0,   8,-4.1142530E+00, 3.4000000E+01,     1
    10,   0,   9,-4.0712639E+00, 3.8000000E+01,     1
    11,   0,  10,-4.0239354E+00, 4.2000000E+01,     1
    12,   0,  11,-3.9723227E+00, 4.6000000E+01,     1
    13,   0,  12,-3.9164855E+00, 5.0000000E+01,     1
    14,   0,  13,-3.8564885E+00, 5.4000000E+01,     1
    15,   1,   0,-3.8426681E+00, 2.0000000E+00,     2
    16,   1,   1,-3.8360579E+00, 6.0000000E+00,     2
    17,   1,   2,-3.8250506E+00, 1.0000000E+01,     2
    18,   1,   3,-3.8096612E+00, 1.4000000E+01,     2
    19,   0,  14,-3.7924013E+00, 5.8000000E+01,     1
    20,   1,   4,-3.7899109E+00, 1.8000000E+01,     2
    21,   1,   5,-3.7658261E+00, 2.2000000E+01,     2
    22,   1,   6,-3.7374392E+00, 2.6000000E+01,     2
    23,   0,  15,-3.7242983E+00, 6.2000000E+01,     1
    24,   1,   7,-3.7047886E+00, 3.0000000E+01,     2
    25,   1,   8,-3.6679180E+00, 3.4000000E+01,     2
    26,   0,  16,-3.6522584E+00, 6.6000000E+01,     1
    27,   1,   9,-3.6268767E+00, 3.8000000E+01,     2
    28,   1,  10,-3.5817188E+00, 4.2000000E+01,     2
    29,   0,  17,-3.5763653E+00, 7.0000000E+01,     1
    30,   1,  11,-3.5325043E+00, 4.6000000E+01,     2
    31,   0,  18,-3.4967072E+00, 7.4000000E+01,     1
    32,   1,  12,-3.4792976E+00, 5.0000000E+01,     2
    33,   2,   0,-3.4253894E+00, 2.0000000E+00,     3
    34,   1,  13,-3.4221684E+00, 5.4000000E+01,     2
    35,   2,   1,-3.4190565E+00, 6.0000000E+00,     3
    36,   0,  19,-3.4133772E+00, 7.8000000E+01,     1
    37,   2,   2,-3.4085113E+00, 1.0000000E+01,     3
    38,   2,   3,-3.3937690E+00, 1.4000000E+01,     3
    39,   2,   4,-3.3748497E+00, 1.8000000E+01,     3
    40,   1,  14,-3.3611904E+00, 5.8000000E+01,     2
    41,   2,   5,-3.3517805E+00, 2.2000000E+01,     3
    42,   0,  20,-3.3264730E+00, 8.2000000E+01,     1
    43,   2,   6,-3.3245927E+00, 2.6000000E+01,     3
    44,   1,  15,-3.2964420E+00, 6.2000000E+01,     2
    45,   2,   7,-3.2933247E+00, 3.0000000E+01,     3
    46,   2,   8,-3.2580193E+00, 3.4000000E+01,     3
    47,   0,  21,-3.2360967E+00, 8.6000000E+01,     1
    48,   1,  16,-3.2280057E+00, 6.6000000E+01,     2
    49,   2,   9,-3.2187247E+00, 3.8000000E+01,     3
    50,   2,  10,-3.1754948E+00, 4.2000000E+01,     3
    51,   1,  17,-3.1559676E+00, 7.0000000E+01,     2
    52,   0,  22,-3.1423554E+00, 9.0000000E+01,     1
    53,   2,  11,-3.1283878E+00, 4.6000000E+01,     3
    54,   1,  18,-3.0804182E+00, 7.4000000E+01,     2
    55,   2,  12,-3.0774671E+00, 5.0000000E+01,     3
    56,   0,  23,-3.0453604E+00, 9.4000000E+01,     1
    57,   3,   0,-3.0332690E+00, 2.0000000E+00,     4
    58,   3,   1,-3.0271827E+00, 6.0000000E+00,     4
    59,   2,  13,-3.0228003E+00, 5.4000000E+01,     3
    60,   3,   2,-3.0170483E+00, 1.0000000E+01,     4
    61,   3,   3,-3.0028796E+00, 1.4000000E+01,     4
    62,   1,  19,-3.0014508E+00, 7.8000000E+01,     2
    63,   3,   4,-2.9846967E+00, 1.8000000E+01,     4
