# Level/Bin Ratio,       Part. Func,      Energy [eV]
 3.4750121866E-001, 7.8259568582E+002, 9.5969734290E-001
 2.1673766466E-001, 4.8810752945E+002, 1.4098627366E+000
 1.3992951004E-001, 3.1513049450E+002, 1.8164579427E+000
 9.2446201995E-002, 2.0819495002E+002, 2.1917257777E+000
 6.2210834042E-002, 1.4010290531E+002, 2.5391023247E+000
 4.2568584355E-002, 9.5867262268E+001, 2.8572936560E+000
 2.9586286762E-002, 6.6630271022E+001, 3.1435136327E+000
 2.0856772595E-002, 4.6970828810E+001, 3.3953687392E+000
 1.4880113312E-002, 3.3510997537E+001, 3.6118710234E+000
 1.0711324140E-002, 2.4122609106E+001, 3.7937656257E+000
 7.7496831183E-003, 1.7452798003E+001, 3.9432844597E+000
 5.6095756777E-003, 1.2633134760E+001, 4.0635196475E+000
 4.0402909681E-003, 9.0990019929E+000, 4.1576779177E+000
 2.6519036850E-003, 5.9722621725E+000, 4.2150851899E+000
 1.6214173921E-003, 3.6515390100E+000, 4.2581914431E+000
 7.4662333640E-004, 1.6814450443E+000, 4.2819779728E+000
 1.5199525811E-004, 3.4230335572E-001, 4.2949336455E+000
