Id,v,longitude,latitude,rin,eevvib,eevrot,deltaebarrier,bin
1,0,-0,-51.13046,2.190762,0,0,-5.113046,98
2,0,-1,-51.1269,2.190776,0,0.000356,-5.112692,98
3,0,-2,-51.11977,2.190805,0,0.001069,-5.111986,98
4,0,-3,-51.10908,2.190847,0,0.002138,-5.110931,98
5,0,-4,-51.09483,2.190904,0,0.003563,-5.109532,98
6,0,-5,-51.07702,2.190975,0,0.005344,-5.10779,98
7,0,-6,-51.05564,2.191061,0,0.007482,-5.105709,98
8,0,-7,-51.03071,2.19116,0,0.009975,-5.103291,98
9,0,-8,-51.00222,2.191274,0,0.012825,-5.100539,98
10,0,-9,-50.97016,2.191402,0,0.01603,-5.097455,98
11,0,-10,-50.93455,2.191544,0,0.019591,-5.094042,98
12,0,-11,-50.89539,2.191701,0,0.023507,-5.090303,98
13,0,-12,-50.85267,2.191871,0,0.027779,-5.086239,98
14,0,-13,-50.8064,2.192056,0,0.032406,-5.081854,98
15,0,-14,-50.75658,2.192256,0,0.037388,-5.07715,98
16,0,-15,-50.70321,2.192469,0,0.042725,-5.072129,98
17,0,-16,-50.64629,2.192697,0,0.048417,-5.066793,98
18,0,-17,-50.58583,2.192939,0,0.054463,-5.061146,98
19,0,-18,-50.52183,2.193196,0,0.060863,-5.055189,98
20,0,-19,-50.45429,2.193467,0,0.067617,-5.048925,98
21,0,-20,-50.38322,2.193752,0,0.074725,-5.042356,98
22,0,-21,-50.30861,2.194052,0,0.082186,-5.035485,98
23,0,-22,-50.23047,2.194366,0,0.09,-5.028314,98
24,0,-23,-50.1488,2.194694,0,0.098166,-5.020845,98
25,0,-24,-50.06361,2.195037,0,0.106686,-5.01308,98
26,0,-25,-49.9749,2.195395,0,0.115557,-5.005023,98
27,0,-26,-49.88267,2.195766,0,0.12478,-4.996674,98
28,0,-27,-49.78692,2.196153,0,0.134354,-4.988036,98
29,0,-28,-49.68767,2.196554,0,0.144279,-4.979112,98
30,0,-29,-49.58492,2.196969,0,0.154555,-4.969903,98
31,0,-30,-49.47866,2.197399,0,0.165181,-4.960412,98
32,0,-31,-49.3689,2.197844,0,0.176156,-4.950641,98
33,0,-32,-49.25565,2.198303,0,0.187481,-4.940594,98
34,1,-0,-49.19038,2.130908,0.194009,0,-4.919038,99
35,1,-1,-49.18685,2.130922,0.194009,0.000352,-4.918687,99
36,1,-2,-49.17981,2.130949,0.194009,0.001057,-4.917989,99
37,1,-3,-49.16924,2.13099,0.194009,0.002114,-4.916946,99
38,1,-4,-49.15514,2.131045,0.194009,0.003523,-4.915563,99
39,0,-33,-49.13892,2.198777,0,0.199155,-4.930272,98
40,1,-5,-49.13753,2.131114,0.194009,0.005285,-4.913841,99
41,1,-6,-49.11639,2.131196,0.194009,0.007398,-4.911784,99
42,1,-7,-49.09174,2.131292,0.194009,0.009864,-4.909394,99
43,1,-8,-49.06356,2.131402,0.194009,0.012682,-4.906674,99
44,1,-9,-49.03187,2.131526,0.194009,0.015851,-4.903625,99
45,0,-34,-49.0187,2.199266,0,0.211177,-4.919679,98
46,1,-10,-48.99665,2.131663,0.194009,0.019372,-4.900252,99
47,1,-11,-48.95793,2.131814,0.194009,0.023245,-4.896557,99
48,1,-12,-48.91569,2.131979,0.194009,0.027469,-4.892541,99
49,0,-35,-48.895,2.199769,0,0.223547,-4.908817,98
50,1,-13,-48.86993,2.132158,0.194009,0.032044,-4.888207,99
51,1,-14,-48.82067,2.13235,0.194009,0.036971,-4.883559,99
52,1,-15,-48.7679,2.132557,0.194009,0.042248,-4.878597,99
53,0,-36,-48.76782,2.200287,0,0.236264,-4.897692,98
54,1,-16,-48.71162,2.132777,0.194009,0.047876,-4.873325,99
55,1,-17,-48.65183,2.133011,0.194009,0.053854,-4.867746,99
56,0,-37,-48.63718,2.20082,0,0.249328,-4.886307,98
57,1,-18,-48.58855,2.133258,0.194009,0.060183,-4.861861,99
58,1,-19,-48.52176,2.13352,0.194009,0.066861,-4.855672,99
59,0,-38,-48.50308,2.201368,0,0.262738,-4.874668,98
60,1,-20,-48.45148,2.133796,0.194009,0.073889,-4.849183,99
61,1,-21,-48.37771,2.134085,0.194009,0.081267,-4.842395,99
62,0,-39,-48.36552,2.201931,0,0.276495,-4.862782,98
63,1,-22,-48.30045,2.134388,0.194009,0.088993,-4.835312,99
64,0,-40,-48.2245,2.202508,0,0.290596,-4.850659,98
65,1,-23,-48.2197,2.134706,0.194009,0.097068,-4.827934,99
66,1,-24,-48.13546,2.135037,0.194009,0.105492,-4.820265,99
67,0,-41,-48.08004,2.203101,0,0.305042,-4.838314,98
68,1,-25,-48.04774,2.135382,0.194009,0.114263,-4.812307,99
69,1,-26,-47.95655,2.135741,0.194009,0.123383,-4.804062,99
70,0,-42,-47.93214,2.203708,0,0.319832,-4.825781,98
71,1,-27,-47.86188,2.136114,0.194009,0.132849,-4.795532,99
72,0,-43,-47.78081,2.20433,0,0.334966,-4.813683,98
73,1,-28,-47.76375,2.136501,0.194009,0.142663,-4.786719,99
74,1,-29,-47.66215,2.136903,0.194009,0.152823,-4.777626,99
75,0,-44,-47.62604,2.204967,0,0.350442,-4.801362,98
76,1,-30,-47.55708,2.137318,0.194009,0.163329,-4.768255,99
77,0,-45,-47.46785,2.20562,0,0.366261,-4.788823,98
78,1,-31,-47.44856,2.137747,0.194009,0.174181,-4.758608,99
79,1,-32,-47.33659,2.138191,0.194009,0.185379,-4.748688,99
80,0,-46,-47.30625,2.206288,0,0.382421,-4.776059,98
81,2,-0,-47.28231,2.092795,0.384816,0,-4.728231,7
82,2,-1,-47.27882,2.092809,0.384816,0.000348,-4.727884,7
83,2,-2,-47.27185,2.092836,0.384816,0.001045,-4.727194,7
84,2,-3,-47.2614,2.092876,0.384816,0.00209,-4.726163,7
85,2,-4,-47.24747,2.09293,0.384816,0.003484,-4.724796,7
86,2,-5,-47.23005,2.092997,0.384816,0.005225,-4.723094,7
87,1,-33,-47.22117,2.138648,0.194009,0.196921,-4.738497,99
88,2,-6,-47.20916,2.093078,0.384816,0.007315,-4.72106,7
89,2,-7,-47.18478,2.093172,0.384816,0.009753,-4.718698,7
90,2,-8,-47.15692,2.09328,0.384816,0.012539,-4.71601,7
91,0,-47,-47.14124,2.20697,0,0.398923,-4.763064,98
92,2,-9,-47.12558,2.093401,0.384816,0.015672,-4.712997,7
93,1,-34,-47.10231,2.13912,0.194009,0.208807,-4.72804,99
94,2,-10,-47.09077,2.093535,0.384816,0.019154,-4.709664,7
95,2,-11,-47.05248,2.093683,0.384816,0.022983,-4.706012,7
96,2,-12,-47.01072,2.093845,0.384816,0.027159,-4.702044,7
97,1,-35,-46.98,2.139606,0.194009,0.221037,-4.717318,99
98,0,-48,-46.97282,2.207668,0,0.415764,-4.749837,98
99,2,-13,-46.96548,2.09402,0.384816,0.031683,-4.697762,7
100,2,-14,-46.91677,2.094209,0.384816,0.036553,-4.693169,7
101,2,-15,-46.8646,2.094411,0.384816,0.041771,-4.688267,7
102,1,-36,-46.85427,2.140107,0.194009,0.233611,-4.706336,99
103,2,-16,-46.80895,2.094626,0.384816,0.047335,-4.683059,7
104,0,-49,-46.80101,2.208381,0,0.432945,-4.736378,98
105,2,-17,-46.74985,2.094855,0.384816,0.053246,-4.677547,7
106,1,-37,-46.7251,2.140621,0.194009,0.246527,-4.695099,2
107,2,-18,-46.68728,2.095098,0.384816,0.059503,-4.671733,7
108,0,-50,-46.62581,2.20911,0,0.450465,-4.722685,98
109,2,-19,-46.62125,2.095355,0.384816,0.066106,-4.66562,7
110,1,-38,-46.59252,2.14115,0.194009,0.259786,-4.683612,2
111,2,-20,-46.55176,2.095625,0.384816,0.073054,-4.659211,7
112,2,-21,-46.47883,2.095908,0.384816,0.080348,-4.652507,7
113,1,-39,-46.45651,2.141693,0.194009,0.273386,-4.671882,2
114,0,-51,-46.44723,2.209854,0,0.468323,-4.708759,98
115,2,-22,-46.40244,2.096205,0.384816,0.087987,-4.645511,7
116,2,-23,-46.3226,2.096516,0.384816,0.09597,-4.638225,7
117,1,-40,-46.31709,2.142251,0.194009,0.287328,-4.659918,2
118,0,-52,-46.26527,2.210613,0,0.486519,-4.694599,98
119,2,-24,-46.23932,2.09684,0.384816,0.104298,-4.630651,7
120,1,-41,-46.17427,2.142823,0.194009,0.301611,-4.647737,2
121,2,-25,-46.1526,2.097179,0.384816,0.112971,-4.622793,7
122,0,-53,-46.07995,2.211388,0,0.505051,-4.680207,98
123,2,-26,-46.06244,2.09753,0.384816,0.121986,-4.614651,7
124,1,-42,-46.02805,2.143409,0.194009,0.316233,-4.635372,2
125,2,-27,-45.96885,2.097896,0.384816,0.131346,-4.606229,7
126,0,-54,-45.89127,2.212178,0,0.523919,-4.665582,98
127,1,-43,-45.87843,2.14401,0.194009,0.331195,-4.623445,2
128,2,-28,-45.87183,2.098275,0.384816,0.141048,-4.597527,7
129,2,-29,-45.77138,2.098668,0.384816,0.151092,-4.58855,7
130,1,-44,-45.72542,2.144625,0.194009,0.346495,-4.611301,2
131,0,-55,-45.69924,2.212983,0,0.543123,-4.650726,98
132,2,-30,-45.66751,2.099075,0.384816,0.161479,-4.579298,7
133,1,-45,-45.56904,2.145255,0.194009,0.362134,-4.598942,2
134,2,-31,-45.56023,2.099496,0.384816,0.172208,-4.569774,7
135,0,-56,-45.50386,2.213805,0,0.562661,-4.635638,98
136,2,-32,-45.44953,2.09993,0.384816,0.183278,-4.559982,7
137,1,-46,-45.40927,2.1459,0.194009,0.37811,-4.586361,2
138,3,-0,-45.40579,2.063556,0.572467,0,-4.540579,6
139,3,-1,-45.40235,2.063569,0.572467,0.000344,-4.540236,6
140,3,-2,-45.39546,2.063595,0.572467,0.001033,-4.539554,6
141,3,-3,-45.38513,2.063635,0.572467,0.002066,-4.538535,6
142,3,-4,-45.37135,2.063688,0.572467,0.003444,-4.537184,6
143,3,-5,-45.35413,2.063754,0.572467,0.005166,-4.535502,6
144,2,-33,-45.33542,2.100379,0.384816,0.194688,-4.549923,7
145,3,-6,-45.33347,2.063834,0.572467,0.007232,-4.533492,6
146,3,-7,-45.30937,2.063927,0.572467,0.009642,-4.531158,6
147,0,-57,-45.30514,2.214642,0,0.582532,-4.620321,98
148,3,-8,-45.28183,2.064033,0.572467,0.012396,-4.528501,6
149,3,-9,-45.25085,2.064152,0.572467,0.015494,-4.525524,6
150,1,-47,-45.24614,2.146559,0.194009,0.394424,-4.573554,2
151,2,-34,-45.21792,2.100841,0.384816,0.206439,-4.539601,7
152,3,-10,-45.21644,2.064285,0.572467,0.018935,-4.522231,6
153,3,-11,-45.17858,2.064431,0.572467,0.022721,-4.518622,6
154,3,-12,-45.1373,2.06459,0.572467,0.026849,-4.514702,6
155,0,-58,-45.1031,2.215494,0,0.602736,-4.604775,98
156,2,-35,-45.09701,2.101317,0.384816,0.21853,-4.529018,7
157,3,-13,-45.09258,2.064762,0.572467,0.031322,-4.510472,6
158,1,-48,-45.07964,2.147233,0.194009,0.411073,-4.560519,2
159,3,-14,-45.04442,2.064948,0.572467,0.036137,-4.505934,6
160,3,-15,-44.99284,2.065147,0.572467,0.041295,-4.501092,6
161,2,-36,-44.97271,2.101807,0.384816,0.23096,-4.51818,7
162,3,-16,-44.93784,2.06536,0.572467,0.046795,-4.495947,6
163,1,-49,-44.90979,2.147921,0.194009,0.428058,-4.547256,2
164,0,-59,-44.89774,2.216363,0,0.623272,-4.589,98
165,3,-17,-44.8794,2.065586,0.572467,0.052639,-4.490503,6
166,2,-37,-44.84502,2.102311,0.384816,0.243729,-4.50709,7
167,3,-18,-44.81755,2.065825,0.572467,0.058824,-4.484761,6
168,3,-19,-44.75228,2.066077,0.572467,0.065351,-4.478723,6
169,1,-50,-44.7366,2.148624,0.194009,0.445378,-4.533763,2
170,2,-38,-44.71395,2.102829,0.384816,0.256836,-4.495755,7
171,0,-60,-44.68907,2.217247,0,0.644139,-4.572998,98
172,3,-20,-44.68359,2.066343,0.572467,0.072221,-4.472393,6
173,3,-21,-44.61148,2.066623,0.572467,0.079431,-4.465772,6
174,2,-39,-44.5795,2.103361,0.384816,0.270281,-4.48418,7
175,1,-51,-44.56006,2.149342,0.194009,0.463032,-4.520041,2
176,3,-22,-44.53597,2.066915,0.572467,0.086982,-4.458864,6
177,0,-61,-44.47709,2.218147,0,0.665337,-4.55677,1
178,3,-23,-44.45704,2.067222,0.572467,0.094875,-4.451669,6
179,2,-40,-44.44167,2.103908,0.384816,0.284063,-4.472376,7
180,1,-52,-44.38018,2.150075,0.194009,0.481019,-4.50609,2
181,3,-24,-44.37472,2.067541,0.572467,0.103108,-4.444191,6
182,2,-41,-44.30049,2.104468,0.384816,0.298182,-4.460359,7
183,3,-25,-44.28899,2.067874,0.572467,0.11168,-4.436432,6
184,0,-62,-44.26182,2.219063,0,0.686864,-4.540317,1
185,3,-26,-44.19986,2.068221,0.572467,0.120593,-4.428393,6
186,1,-53,-44.19698,2.150823,0.194009,0.499339,-4.49191,2
187,2,-42,-44.15594,2.105042,0.384816,0.312636,-4.448161,7
188,3,-27,-44.10734,2.068581,0.572467,0.129845,-4.420078,6
189,0,-63,-44.04327,2.219995,0,0.708719,-4.523641,1
190,3,-28,-44.01143,2.068955,0.572467,0.139436,-4.411488,6
191,1,-54,-44.01047,2.151586,0.194009,0.517991,-4.477502,2
192,2,-43,-44.00804,2.105631,0.384816,0.327427,-4.436406,7
193,3,-29,-43.91214,2.069342,0.572467,0.149365,-4.402625,6
