#Idx,Group
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,2
35,2
36,2
37,2
38,2
39,1
40,2
41,2
42,2
43,2
44,2
45,1
46,2
47,2
48,2
49,1
50,2
51,2
52,2
53,1
54,2
55,2
56,1
57,2
58,2
59,1
60,2
61,2
62,1
63,2
64,1
65,2
66,2
67,1
68,2
69,2
70,1
71,2
72,1
73,2
74,2
75,1
76,2
77,1
78,2
79,2
80,1
81,3
82,3
83,3
84,3
85,3
86,3
87,2
88,3
89,3
90,3
91,1
92,3
93,2
94,3
95,3
96,3
97,2
98,1
99,3
100,3
101,3
102,2
103,3
104,1
105,3
106,2
107,3
108,1
109,3
110,2
111,3
112,3
113,2
114,1
115,3
116,3
117,2
118,1
119,3
120,2
121,3
122,1
123,3
124,2
125,3
126,1
127,2
128,3
129,3
130,2
131,1
132,3
133,2
134,3
135,1
136,3
137,2
138,3
139,3
140,3
141,3
142,3
143,3
144,3
145,3
146,3
147,6
148,3
149,3
150,2
151,3
152,3
153,3
154,3
155,6
156,3
157,3
158,2
159,3
160,3
161,3
162,3
163,2
164,6
165,3
166,3
167,3
168,3
169,2
170,3
171,6
172,3
173,3
174,3
175,2
176,3
177,6
178,3
179,3
180,2
181,3
182,3
183,3
184,6
185,3
186,2
187,3
188,3
189,6
190,3
191,2
192,3
193,3
194,3
195,6
196,2
197,3
198,3
199,3
200,2
201,6
202,3
203,4
204,4
205,4
206,3
207,4
208,4
209,4
210,4
211,3
212,4
213,4
214,7
215,4
216,3
217,4
218,6
219,3
220,4
221,4
222,4
223,3
224,7
225,3
226,4
227,4
228,6
229,3
230,4
231,3
232,4
233,7
234,3
235,4
236,4
237,6
238,3
239,3
240,4
241,7
242,4
243,3
244,3
245,4
246,6
247,4
248,7
249,3
250,4
251,3
252,3
253,4
254,6
255,7
256,4
257,3
258,3
259,4
260,7
261,4
262,6
263,3
264,3
265,4
266,3
267,4
268,3
269,7
270,6
271,4
272,3
273,3
274,4
275,4
276,4
277,7
278,4
279,4
280,4
281,3
282,4
283,6
284,4
285,4
286,4
287,4
288,4
289,8
290,4
291,3
292,4
293,4
294,7
295,4
296,4
297,6
298,4
299,4
300,8
301,3
302,4
303,4
304,4
305,7
306,4
307,3
308,8
309,4
310,4
311,6
312,4
313,7
314,3
315,4
316,4
317,8
318,4
319,4
320,6
321,4
322,3
323,7
324,4
325,4
326,8
327,4
328,3
329,4
330,4
331,6
332,7
333,8
334,4
335,3
336,4
337,4
338,4
339,6
340,4
341,8
342,3
343,7
344,4
345,4
346,4
347,3
348,8
349,6
350,7
351,4
352,4
353,4
354,3
355,4
356,4
357,4
358,4
359,4
360,8
361,4
362,4
363,4
364,4
365,4
366,7
367,4
368,6
369,4
370,8
371,4
372,4
373,4
374,4
375,4
376,8
377,4
378,4
379,4
380,7
381,4
382,8
383,4
384,6
385,4
386,4
387,8
388,4
389,4
390,4
391,4
392,8
393,7
394,4
395,6
396,4
397,4
398,4
399,8
400,4
401,8
402,4
403,4
404,4
405,7
406,4
407,8
408,4
409,6
410,8
411,4
412,4
413,4
414,4
415,7
416,4
417,8
418,8
419,4
420,4
421,6
422,4
423,4
424,4
425,7
426,8
427,4
428,8
429,4
430,4
431,6
432,4
433,4
434,8
435,4
436,7
437,8
438,4
439,4
440,5
441,5
442,5
443,8
444,5
445,5
446,5
447,5
448,4
449,6
450,8
451,5
452,4
453,5
454,5
455,8
456,5
457,7
458,8
459,4
460,5
461,4
462,5
463,8
464,5
465,4
466,5
467,6
468,4
469,5
470,8
471,8
472,5
473,4
474,7
475,5
476,8
477,4
478,5
479,4
480,8
481,5
482,8
483,6
484,5
485,4
486,4
487,7
488,8
489,5
490,8
491,4
492,5
493,4
494,5
495,8
496,4
497,6
498,8
499,5
500,8
501,7
502,4
503,5
504,4
505,5
506,8
507,8
508,8
509,4
510,4
511,5
512,6
513,7
514,5
515,4
516,4
517,8
518,5
519,8
520,8
521,4
522,5
523,6
524,7
525,4
526,8
527,5
528,4
529,8
530,8
531,5
532,5
533,5
534,5
535,5
536,5
537,9
538,5
539,5
540,4
541,5
542,5
543,8
544,5
545,7
546,5
547,6
548,5
549,8
550,5
551,5
552,9
553,8
554,4
555,5
556,5
557,8
558,5
559,5
560,5
561,4
562,9
563,7
564,5
565,8
566,5
567,6
568,5
569,8
570,8
571,5
572,4
573,5
574,9
575,5
576,5
577,8
578,5
579,4
580,7
581,5
582,8
583,8
584,6
585,9
586,5
587,5
588,4
589,5
590,8
591,5
592,5
593,8
594,9
595,7
596,8
597,5
598,4
599,5
600,6
601,5
