Id,bin
1,9
2,9
3,9
4,9
5,9
6,9
7,9
8,9
9,9
10,9
11,9
12,9
13,9
14,9
15,9
16,9
17,9
18,9
19,9
20,9
21,9
22,9
23,9
24,9
25,9
26,9
27,9
28,9
29,9
30,9
31,9
32,9
33,9
34,10
35,10
36,10
37,10
38,10
39,9
40,10
41,10
42,10
43,10
44,10
45,9
46,10
47,10
48,10
49,9
50,10
51,10
52,10
53,9
54,10
55,10
56,9
57,10
58,10
59,9
60,10
61,10
62,9
63,10
64,9
65,10
66,10
67,9
68,10
69,10
70,9
71,10
72,9
73,10
74,10
75,9
76,10
77,9
78,10
79,10
80,9
81,24
82,24
83,24
84,24
85,24
86,24
87,10
88,24
89,24
90,24
91,9
92,24
93,10
94,24
95,24
96,24
97,10
98,9
99,24
100,24
101,24
102,10
103,24
104,9
105,24
106,10
107,24
108,9
109,24
110,10
111,24
112,24
113,10
114,9
115,24
116,24
117,10
118,9
119,24
120,10
121,24
122,9
123,24
124,10
125,24
126,9
127,10
128,24
129,24
130,10
131,9
132,24
133,10
134,24
135,9
136,24
137,10
138,14
139,14
140,14
141,14
142,14
143,14
144,24
145,14
146,14
147,9
148,14
149,14
150,10
151,24
152,14
153,14
154,14
155,9
156,24
157,14
158,10
159,14
160,14
161,24
162,14
163,10
164,9
165,14
166,24
167,14
168,14
169,10
170,24
171,9
172,14
173,14
174,24
175,10
176,14
177,2
178,14
179,24
180,10
181,14
182,24
183,14
184,2
185,14
186,10
187,24
188,14
189,2
190,14
191,10
192,24
193,14
194,24
195,2
196,10
197,14
198,14
199,24
200,10
201,2
202,14
203,13
204,13
205,13
206,24
207,13
208,13
209,13
210,13
211,14
212,13
213,13
214,2
215,13
216,24
217,13
218,2
219,14
220,13
221,13
222,13
223,14
224,2
225,24
226,13
227,13
228,2
229,14
230,13
231,24
232,13
233,2
234,14
235,13
236,13
237,2
238,24
239,14
240,13
241,2
242,13
243,14
244,24
245,13
246,2
247,13
248,2
249,14
250,13
251,24
252,14
253,13
254,2
255,2
256,13
257,2
258,14
259,13
260,2
261,13
262,2
263,14
264,2
265,13
266,14
267,13
268,2
269,2
270,2
271,13
272,14
273,2
274,13
275,21
276,21
277,2
278,21
279,21
280,21
281,14
282,21
283,2
284,21
285,13
286,21
287,21
288,21
289,2
290,21
291,14
292,13
293,21
294,2
295,21
296,21
297,2
298,13
299,21
300,2
301,14
302,21
303,13
304,21
305,2
306,21
307,14
308,2
309,13
310,21
311,2
312,21
313,2
314,14
315,13
316,21
317,2
318,21
319,13
320,2
321,21
322,14
323,2
324,21
325,13
326,2
327,21
328,14
329,21
330,13
331,2
332,2
333,2
334,21
335,14
336,13
337,21
338,21
339,2
340,13
341,2
342,14
343,2
344,21
345,13
346,21
347,14
348,2
349,2
350,2
351,21
352,13
353,21
354,14
355,15
356,15
357,15
358,15
359,15
360,2
361,15
362,13
363,15
364,15
365,21
366,2
367,15
368,2
369,15
370,14
371,15
372,21
373,13
374,15
375,15
376,2
377,15
378,21
379,15
380,2
381,13
382,14
383,15
384,2
385,21
386,15
387,2
388,15
389,13
390,15
391,21
392,2
393,2
394,15
395,2
396,21
397,15
398,13
399,2
400,15
401,2
402,21
403,15
404,2
405,2
406,15
407,2
408,21
409,2
410,2
411,15
412,2
413,15
414,21
415,2
416,15
417,2
418,2
419,2
420,21
421,2
422,15
423,15
424,21
425,2
426,2
427,2
428,2
429,15
430,21
431,2
432,15
433,2
434,2
435,15
436,2
437,2
438,21
439,15
440,20
441,20
442,20
443,2
444,20
445,20
446,20
447,20
448,21
449,2
450,2
451,20
452,15
453,20
454,20
455,2
456,20
457,2
458,2
459,15
460,20
461,21
462,20
463,2
464,20
465,15
466,20
467,2
468,21
469,20
470,2
471,2
472,20
473,15
474,2
475,20
476,2
477,21
478,20
479,15
480,2
481,20
482,2
483,2
484,20
485,15
486,21
487,2
488,2
489,20
490,2
491,15
492,20
493,2
494,20
495,2
496,15
497,2
498,2
499,20
500,2
501,2
502,2
503,20
504,15
505,20
506,2
507,2
508,2
509,2
510,15
511,20
512,2
513,2
514,20
515,15
516,2
517,2
518,20
519,2
520,2
521,15
522,20
523,2
524,2
525,2
526,2
527,20
528,15
529,2
530,2
531,28
532,20
533,28
534,28
535,28
536,28
537,2
538,28
539,28
540,15
541,28
542,20
543,2
544,28
545,2
546,28
547,2
548,28
549,2
550,28
551,20
552,2
553,2
554,15
555,28
556,28
557,2
558,20
559,28
560,28
561,15
562,2
563,2
564,28
565,2
566,20
567,2
568,28
569,2
570,2
571,28
572,15
573,20
574,2
575,28
576,28
577,2
578,20
579,15
580,2
581,28
582,2
583,2
584,2
585,2
586,28
587,20
588,15
589,28
590,2
591,20
592,28
593,2
594,2
595,2
596,2
597,28
598,15
599,20
600,2
601,28
602,2
603,2
604,20
605,28
606,1
607,2
608,28
609,2
610,2
611,20
612,1
613,28
614,2
615,2
616,2
617,2
618,20
619,28
620,1
621,28
622,2
623,2
624,2
625,20
626,27
627,2
