#Idx,EeV,g,rIn,v,J,ECB,Group
1,-5.113043e+00,5.000000e-01,2.190762e+00,0,0,5.113043e+00,1
2,-5.112687e+00,1.500000e+00,2.190776e+00,0,1,5.112689e+00,1
3,-5.111974e+00,2.500000e+00,2.190805e+00,0,2,5.111982e+00,1
4,-5.110905e+00,3.500000e+00,2.190847e+00,0,3,5.110928e+00,1
5,-5.109480e+00,4.500000e+00,2.190904e+00,0,4,5.109529e+00,1
6,-5.107699e+00,5.500000e+00,2.190975e+00,0,5,5.107787e+00,1
7,-5.105561e+00,6.500000e+00,2.191061e+00,0,6,5.105706e+00,1
8,-5.103068e+00,7.500000e+00,2.191160e+00,0,7,5.103288e+00,1
9,-5.100218e+00,8.500000e+00,2.191274e+00,0,8,5.100536e+00,1
10,-5.097013e+00,9.500000e+00,2.191402e+00,0,9,5.097452e+00,1
11,-5.093452e+00,1.050000e+01,2.191544e+00,0,10,5.094039e+00,1
12,-5.089536e+00,1.150000e+01,2.191701e+00,0,11,5.090300e+00,1
13,-5.085264e+00,1.250000e+01,2.191871e+00,0,12,5.086236e+00,1
14,-5.080637e+00,1.350000e+01,2.192056e+00,0,13,5.081851e+00,1
15,-5.075655e+00,1.450000e+01,2.192256e+00,0,14,5.077147e+00,1
16,-5.070318e+00,1.550000e+01,2.192469e+00,0,15,5.072126e+00,1
17,-5.064626e+00,1.650000e+01,2.192697e+00,0,16,5.066790e+00,1
18,-5.058580e+00,1.750000e+01,2.192939e+00,0,17,5.061143e+00,1
19,-5.052180e+00,1.850000e+01,2.193196e+00,0,18,5.055186e+00,1
20,-5.045426e+00,1.950000e+01,2.193467e+00,0,19,5.048922e+00,1
21,-5.038319e+00,2.050000e+01,2.193752e+00,0,20,5.042353e+00,1
22,-5.030858e+00,2.150000e+01,2.194052e+00,0,21,5.035482e+00,1
23,-5.023044e+00,2.250000e+01,2.194366e+00,0,22,5.028311e+00,1
24,-5.014877e+00,2.350000e+01,2.194694e+00,0,23,5.020842e+00,1
25,-5.006358e+00,2.450000e+01,2.195037e+00,0,24,5.013077e+00,1
26,-4.997487e+00,2.550000e+01,2.195395e+00,0,25,5.005019e+00,1
27,-4.988264e+00,2.650000e+01,2.195766e+00,0,26,4.996671e+00,1
28,-4.978689e+00,2.750000e+01,2.196153e+00,0,27,4.988033e+00,1
29,-4.968764e+00,2.850000e+01,2.196554e+00,0,28,4.979109e+00,1
30,-4.958488e+00,2.950000e+01,2.196969e+00,0,29,4.969900e+00,1
31,-4.947863e+00,3.050000e+01,2.197399e+00,0,30,4.960409e+00,1
32,-4.936887e+00,3.150000e+01,2.197844e+00,0,31,4.950638e+00,1
33,-4.925562e+00,3.250000e+01,2.198303e+00,0,32,4.940591e+00,1
34,-4.919035e+00,5.000000e-01,2.130908e+00,1,0,4.919035e+00,2
35,-4.918682e+00,1.500000e+00,2.130922e+00,1,1,4.918684e+00,2
36,-4.917978e+00,2.500000e+00,2.130949e+00,1,2,4.917986e+00,2
37,-4.916921e+00,3.500000e+00,2.130990e+00,1,3,4.916943e+00,2
38,-4.915511e+00,4.500000e+00,2.131045e+00,1,4,4.915560e+00,2
39,-4.913889e+00,3.350000e+01,2.198777e+00,0,33,4.930269e+00,1
40,-4.913750e+00,5.500000e+00,2.131114e+00,1,5,4.913838e+00,2
41,-4.911636e+00,6.500000e+00,2.131196e+00,1,6,4.911781e+00,2
42,-4.909171e+00,7.500000e+00,2.131292e+00,1,7,4.909391e+00,2
43,-4.906353e+00,8.500000e+00,2.131402e+00,1,8,4.906670e+00,2
44,-4.903183e+00,9.500000e+00,2.131526e+00,1,9,4.903622e+00,2
45,-4.901866e+00,3.450000e+01,2.199266e+00,0,34,4.919676e+00,1
46,-4.899662e+00,1.050000e+01,2.131663e+00,1,10,4.900249e+00,2
47,-4.895790e+00,1.150000e+01,2.131814e+00,1,11,4.896554e+00,2
48,-4.891565e+00,1.250000e+01,2.131979e+00,1,12,4.892538e+00,2
49,-4.889497e+00,3.550000e+01,2.199769e+00,0,35,4.908814e+00,1
50,-4.886990e+00,1.350000e+01,2.132158e+00,1,13,4.888204e+00,2
51,-4.882064e+00,1.450000e+01,2.132350e+00,1,14,4.883556e+00,2
52,-4.876786e+00,1.550000e+01,2.132557e+00,1,15,4.878594e+00,2
53,-4.876779e+00,3.650000e+01,2.200287e+00,0,36,4.897689e+00,1
54,-4.871159e+00,1.650000e+01,2.132777e+00,1,16,4.873322e+00,2
55,-4.865180e+00,1.750000e+01,2.133011e+00,1,17,4.867743e+00,2
56,-4.863715e+00,3.750000e+01,2.200820e+00,0,37,4.886304e+00,1
57,-4.858852e+00,1.850000e+01,2.133258e+00,1,18,4.861858e+00,2
