id,bin
1,5
2,5
3,5
4,5
5,5
6,5
7,5
8,5
9,5
10,5
11,5
12,5
13,5
14,5
15,5
16,5
17,5
18,5
19,5
20,5
21,5
22,5
23,5
24,5
25,5
26,5
27,5
28,5
29,5
30,5
31,5
32,5
33,5
34,7
35,7
36,7
37,7
38,7
39,5
40,7
41,7
42,7
43,7
44,7
45,5
46,7
47,7
48,7
49,5
50,7
51,7
52,7
53,5
54,7
55,7
56,5
57,7
58,7
59,5
60,7
61,7
62,5
63,7
64,5
65,7
66,7
67,5
68,7
69,7
70,5
71,7
72,5
73,7
74,7
75,5
76,7
77,5
78,7
79,7
80,5
81,9
82,9
83,9
84,9
85,9
86,9
87,7
88,9
89,9
90,9
91,5
92,9
93,7
94,9
95,9
96,9
97,7
98,5
99,9
100,9
101,9
102,7
103,9
104,5
105,9
106,7
107,9
108,5
109,9
110,7
111,9
112,9
113,7
114,5
115,9
116,9
117,7
118,5
119,9
120,7
121,9
122,5
123,9
124,7
125,9
126,5
127,7
128,9
129,9
130,7
131,5
132,9
133,7
134,9
135,5
136,9
137,7
138,14
139,14
140,14
141,14
142,14
143,14
144,9
145,14
146,14
147,5
148,14
149,14
150,7
151,9
152,14
153,14
154,14
155,5
156,9
157,14
158,7
159,14
160,14
161,9
162,14
163,7
164,5
165,14
166,9
167,14
168,14
169,7
170,9
171,5
172,14
173,14
174,9
175,7
176,14
177,5
178,14
179,9
180,7
181,14
182,9
183,14
184,5
185,14
186,7
187,9
188,14
189,5
190,14
191,7
192,9
193,14
194,9
195,5
196,7
197,14
198,14
199,9
200,7
201,5
202,14
203,8
204,8
205,8
206,9
207,8
208,8
209,8
210,8
211,14
212,8
213,8
214,7
215,8
216,9
217,8
218,5
219,14
220,8
221,8
222,8
223,14
224,7
225,9
226,8
227,8
228,5
229,14
230,8
231,9
232,8
233,7
234,14
235,8
236,8
237,5
238,9
239,14
240,8
241,7
242,8
243,14
244,9
245,8
246,5
247,8
248,7
249,14
250,8
251,9
252,14
253,8
254,5
255,7
256,8
257,9
258,14
259,8
260,7
261,8
262,5
263,14
264,9
265,8
266,14
267,8
268,9
269,7
270,5
271,8
272,14
273,9
274,8
275,8
276,8
277,7
278,8
279,8
280,8
281,14
282,8
283,5
284,8
285,1
286,8
287,8
288,8
289,9
290,8
291,14
292,8
293,8
294,7
295,8
296,8
297,5
298,1
299,8
300,9
301,14
302,8
303,1
304,8
305,7
306,8
307,14
308,9
309,1
310,8
311,5
312,8
313,7
314,14
315,1
316,8
317,9
318,8
319,1
320,5
321,8
322,14
323,7
324,8
325,1
326,9
327,8
328,14
329,8
330,1
331,5
332,7
333,9
334,8
335,14
336,1
337,8
338,8
339,5
340,1
341,9
342,14
343,1
344,8
345,1
346,8
347,14
348,9
349,5
350,1
351,8
352,1
353,8
354,14
355,12
356,12
357,12
358,12
359,12
360,9
361,12
362,1
363,12
364,12
365,8
366,1
367,12
368,5
369,12
370,14
371,12
372,8
373,1
374,12
375,12
376,9
377,12
378,8
379,12
380,1
381,1
382,14
383,12
384,1
385,8
386,12
387,1
388,12
389,1
390,12
391,8
392,14
393,1
394,12
395,5
396,8
397,12
398,1
399,1
400,12
401,14
402,8
403,12
404,1
405,1
406,12
407,1
408,8
409,1
410,14
411,12
412,1
413,12
414,8
415,1
416,12
417,1
418,14
419,1
420,8
421,1
422,12
423,12
424,8
425,1
426,1
427,1
428,1
429,12
430,8
431,1
432,12
433,1
434,14
435,12
436,1
437,1
438,8
439,12
440,15
441,15
442,15
443,1
444,15
445,15
446,15
447,15
448,8
449,1
450,1
451,15
452,12
453,15
454,15
455,1
456,15
457,1
458,1
459,12
460,15
461,8
462,15
463,14
464,15
465,12
466,15
467,1
468,8
469,15
470,1
471,1
472,15
473,12
474,1
475,15
476,1
477,8
478,15
479,12
480,1
481,15
482,1
483,1
484,15
485,12
486,8
487,1
488,1
489,15
490,1
491,12
492,15
493,8
494,15
495,1
496,12
497,1
498,1
499,15
500,1
501,1
502,8
503,15
504,12
505,15
506,1
507,1
508,1
509,8
510,12
511,15
512,1
513,1
514,15
515,12
516,8
517,1
518,15
519,1
520,1
521,12
522,15
523,1
524,1
525,8
526,1
527,15
528,12
529,1
530,1
531,6
532,15
533,6
534,6
535,6
536,6
537,8
538,6
539,6
540,12
541,6
542,15
543,1
544,6
545,1
546,6
547,1
548,6
549,1
550,6
551,15
552,8
553,1
554,12
555,6
556,6
557,1
558,15
559,6
560,6
561,12
562,8
563,1
564,6
565,1
566,15
567,1
568,6
569,1
570,1
571,6
572,12
573,15
574,8
575,6
576,6
577,1
578,15
579,12
580,1
581,6
582,1
583,1
584,1
585,8
586,6
587,15
588,12
589,6
590,1
591,15
592,6
593,1
594,8
595,1
596,1
597,6
598,12
599,15
600,1
601,6
602,1
603,8
604,15
605,6
606,12
607,1
608,6
609,1
610,1
611,15
612,12
613,6
614,1
615,1
616,1
617,1
618,15
619,6
620,1
621,6
622,1
623,1
624,8
625,15
626,6
627,1
628,6
629,6
630,6
631,6
632,1
633,6
634,6
635,1
636,6
637,12
638,6
639,15
640,6
641,6
642,1
