id,v,Longitude,Latitude,rIn,EeVVib,EeVRot,DeltaEintDiss,OriginalLevel
1,0,-0.000000e+00,-5.113046e+01,2.190762e+00,0.000000e+00,0.000000e+00,-5.113046e+00,1
2,0,-1.000000e+00,-5.112690e+01,2.190776e+00,0.000000e+00,3.563280e-04,-5.112692e+00,2
3,0,-2.000000e+00,-5.111977e+01,2.190805e+00,0.000000e+00,1.068969e-03,-5.111986e+00,3
4,0,-3.000000e+00,-5.110908e+01,2.190847e+00,0.000000e+00,2.137897e-03,-5.110931e+00,4
5,0,-4.000000e+00,-5.109483e+01,2.190904e+00,0.000000e+00,3.563057e-03,-5.109532e+00,5
6,0,-5.000000e+00,-5.107702e+01,2.190975e+00,0.000000e+00,5.344417e-03,-5.107790e+00,6
7,0,-6.000000e+00,-5.105564e+01,2.191061e+00,0.000000e+00,7.481877e-03,-5.105709e+00,7
8,0,-7.000000e+00,-5.103071e+01,2.191160e+00,0.000000e+00,9.975377e-03,-5.103291e+00,8
9,0,-8.000000e+00,-5.100222e+01,2.191274e+00,0.000000e+00,1.282480e-02,-5.100539e+00,9
10,0,-9.000000e+00,-5.097016e+01,2.191402e+00,0.000000e+00,1.603004e-02,-5.097455e+00,10
11,0,-1.000000e+01,-5.093455e+01,2.191544e+00,0.000000e+00,1.959097e-02,-5.094042e+00,11
12,0,-1.100000e+01,-5.089539e+01,2.191701e+00,0.000000e+00,2.350744e-02,-5.090303e+00,12
13,0,-1.200000e+01,-5.085267e+01,2.191871e+00,0.000000e+00,2.777930e-02,-5.086239e+00,13
14,0,-1.300000e+01,-5.080640e+01,2.192056e+00,0.000000e+00,3.240638e-02,-5.081854e+00,14
15,0,-1.400000e+01,-5.075658e+01,2.192256e+00,0.000000e+00,3.738849e-02,-5.077150e+00,15
16,0,-1.500000e+01,-5.070321e+01,2.192469e+00,0.000000e+00,4.272543e-02,-5.072129e+00,16
17,0,-1.600000e+01,-5.064629e+01,2.192697e+00,0.000000e+00,4.841700e-02,-5.066793e+00,17
18,0,-1.700000e+01,-5.058583e+01,2.192939e+00,0.000000e+00,5.446296e-02,-5.061146e+00,18
19,0,-1.800000e+01,-5.052183e+01,2.193196e+00,0.000000e+00,6.086307e-02,-5.055189e+00,19
20,0,-1.900000e+01,-5.045429e+01,2.193467e+00,0.000000e+00,6.761707e-02,-5.048925e+00,20
21,0,-2.000000e+01,-5.038322e+01,2.193752e+00,0.000000e+00,7.472470e-02,-5.042356e+00,21
22,0,-2.100000e+01,-5.030861e+01,2.194052e+00,0.000000e+00,8.218566e-02,-5.035485e+00,22
23,0,-2.200000e+01,-5.023047e+01,2.194366e+00,0.000000e+00,8.999967e-02,-5.028314e+00,23
