R_N2,R_O2,R_O2,E1,E2
2.129723e+00,2.239325e+00,4.369047e+00,-4.116460e+01,-5.238250e+01
2.129721e+00,2.239325e+00,4.369047e+00,-4.116460e+01,-5.238250e+01
2.129722e+00,2.239325e+00,4.369047e+00,-4.116460e+01,-5.238250e+01
2.129722e+00,2.239324e+00,4.369046e+00,-4.116460e+01,-5.238250e+01
2.129721e+00,2.239327e+00,4.369048e+00,-4.116460e+01,-5.238250e+01
2.129722e+00,2.239325e+00,4.369047e+00,-4.116460e+01,-5.238250e+01
2.129722e+00,2.239325e+00,4.369047e+00,-4.116460e+01,-5.238250e+01
2.129721e+00,2.239325e+00,4.369047e+00,-4.116460e+01,-5.238250e+01
2.129720e+00,2.239326e+00,4.369046e+00,-4.116460e+01,-5.238250e+01
2.129723e+00,2.239325e+00,4.369047e+00,-4.116460e+01,-5.238250e+01
2.129720e+00,2.239326e+00,4.369046e+00,-4.116460e+01,-5.238250e+01
2.129723e+00,2.239325e+00,4.369049e+00,-4.116460e+01,-5.238250e+01
2.129723e+00,2.239326e+00,4.369048e+00,-4.116460e+01,-5.238250e+01
2.129723e+00,2.239324e+00,4.369047e+00,-4.116460e+01,-5.238250e+01
2.129720e+00,2.239326e+00,4.369046e+00,-4.116460e+01,-5.238250e+01
2.129721e+00,2.239326e+00,4.369047e+00,-4.116460e+01,-5.238250e+01
2.129722e+00,2.239324e+00,4.369046e+00,-4.116460e+01,-5.238250e+01
2.129722e+00,2.239326e+00,4.369048e+00,-4.116460e+01,-5.238250e+01
2.129721e+00,2.239327e+00,4.369047e+00,-4.116460e+01,-5.238250e+01
2.129721e+00,2.239325e+00,4.369047e+00,-4.116460e+01,-5.238250e+01
2.129721e+00,2.239325e+00,4.369047e+00,-4.116460e+01,-5.238250e+01
2.129721e+00,2.239324e+00,4.369045e+00,-4.116460e+01,-5.238250e+01
2.129721e+00,2.239325e+00,4.369046e+00,-4.116460e+01,-5.238250e+01
2.129720e+00,2.239327e+00,4.369046e+00,-4.116460e+01,-5.238250e+01
2.129721e+00,2.239326e+00,4.369047e+00,-4.116460e+01,-5.238250e+01
2.129721e+00,2.239326e+00,4.369047e+00,-4.116460e+01,-5.238250e+01
2.129722e+00,2.239325e+00,4.369047e+00,-4.116460e+01,-5.238250e+01
2.129720e+00,2.239325e+00,4.369046e+00,-4.116460e+01,-5.238250e+01
2.129721e+00,2.239326e+00,4.369047e+00,-4.116460e+01,-5.238250e+01
2.129723e+00,2.239325e+00,4.369048e+00,-4.116460e+01,-5.238250e+01
2.129721e+00,2.239326e+00,4.369047e+00,-4.116460e+01,-5.238250e+01
2.129722e+00,2.239326e+00,4.369048e+00,-4.116460e+01,-5.238250e+01
2.129721e+00,2.239325e+00,4.369046e+00,-4.116460e+01,-5.238250e+01
2.129720e+00,2.239327e+00,4.369047e+00,-4.116460e+01,-5.238250e+01
2.129721e+00,2.239325e+00,4.369046e+00,-4.116460e+01,-5.238250e+01
2.129722e+00,2.239325e+00,4.369047e+00,-4.116460e+01,-5.238250e+01
2.129721e+00,2.239325e+00,4.369046e+00,-4.116460e+01,-5.238250e+01
2.129722e+00,2.239325e+00,4.369047e+00,-4.116460e+01,-5.238250e+01
2.129721e+00,2.239325e+00,4.369047e+00,-4.116460e+01,-5.238250e+01
1.511781e+00,2.035297e+00,2.035297e+00,6.705968e+02,6.793652e+02
1.700754e+00,2.072246e+00,2.072246e+00,3.910140e+02,3.996091e+02
1.889726e+00,2.112778e+00,2.112778e+00,2.450869e+02,2.528634e+02
2.078699e+00,2.156690e+00,2.156690e+00,1.714845e+02,1.793196e+02
2.267671e+00,2.203780e+00,2.203780e+00,1.359953e+02,1.429649e+02
2.456644e+00,2.253850e+00,2.253850e+00,1.157900e+02,1.224270e+02
2.645617e+00,2.306705e+00,2.306705e+00,9.815400e+01,1.020651e+02
2.834589e+00,2.362158e+00,2.362158e+00,9.042570e+01,9.228470e+01
3.023562e+00,2.420030e+00,2.420030e+00,8.867170e+01,8.900040e+01
3.212534e+00,2.480153e+00,2.480153e+00,9.067050e+01,8.698660e+01
3.401507e+00,2.542366e+00,2.542366e+00,9.102530e+01,8.637190e+01
3.590480e+00,2.606521e+00,2.606521e+00,9.412510e+01,8.814850e+01
3.779452e+00,2.672476e+00,2.672476e+00,9.944220e+01,9.185170e+01
4.157397e+00,2.809280e+00,2.809280e+00,1.149769e+02,1.028060e+02
4.535343e+00,2.951847e+00,2.951847e+00,1.316319e+02,1.161946e+02
4.913288e+00,3.099381e+00,3.099381e+00,1.487635e+02,1.296687e+02
5.291233e+00,3.251208e+00,3.251208e+00,1.625210e+02,1.413435e+02
5.669178e+00,3.406752e+00,3.406752e+00,1.775249e+02,1.522179e+02
6.047124e+00,3.565528e+00,3.565528e+00,1.907593e+02,1.609112e+02
6.425069e+00,3.727123e+00,3.727123e+00,2.018256e+02,1.668882e+02
6.803014e+00,3.891184e+00,3.891184e+00,2.108302e+02,1.706847e+02
7.180959e+00,4.057414e+00,4.057414e+00,2.169185e+02,1.746703e+02
7.558904e+00,4.225556e+00,4.225556e+00,2.207109e+02,1.752668e+02
8.503768e+00,4.652911e+00,4.652911e+00,2.178079e+02,1.747342e+02
9.448631e+00,5.088243e+00,5.088243e+00,2.181987e+02,1.729901e+02
1.039349e+01,5.529669e+00,5.529669e+00,2.185943e+02,1.722914e+02
1.133836e+01,5.975839e+00,5.975839e+00,2.188900e+02,1.720362e+02
1.511781e+00,2.211868e+00,2.211868e+00,5.656827e+02,5.688854e+02
1.700754e+00,2.245914e+00,2.245914e+00,2.960616e+02,3.028211e+02
1.889726e+00,2.283365e+00,2.283365e+00,1.613918e+02,1.685616e+02
2.078699e+00,2.324056e+00,2.324056e+00,9.917280e+01,1.077138e+02
2.267671e+00,2.367820e+00,2.367820e+00,7.546250e+01,8.290750e+01
2.456644e+00,2.414490e+00,2.414490e+00,7.101370e+01,7.619890e+01
2.645617e+00,2.463901e+00,2.463901e+00,7.489550e+01,7.749910e+01
2.834589e+00,2.515892e+00,2.515892e+00,7.463350e+01,7.519090e+01
3.023562e+00,2.570305e+00,2.570305e+00,7.865240e+01,7.709000e+01
3.212534e+00,2.626991e+00,2.626991e+00,8.550450e+01,8.228960e+01
3.401507e+00,2.685805e+00,2.685805e+00,9.389370e+01,8.915840e+01
3.590480e+00,2.746611e+00,2.746611e+00,1.019997e+02,9.444730e+01
3.779452e+00,2.809280e+00,2.809280e+00,1.096817e+02,9.971850e+01
4.157397e+00,2.939724e+00,2.939724e+00,1.262619e+02,1.124118e+02
4.535343e+00,3.076251e+00,3.076251e+00,1.430539e+02,1.258878e+02
4.913288e+00,3.218088e+00,3.218088e+00,1.593859e+02,1.382102e+02
5.291233e+00,3.364562e+00,3.364562e+00,1.721518e+02,1.481612e+02
5.669178e+00,3.515094e+00,3.515094e+00,1.853395e+02,1.571086e+02
6.047124e+00,3.669184e+00,3.669184e+00,1.967887e+02,1.640016e+02
6.425069e+00,3.826404e+00,3.826404e+00,2.063369e+02,1.685653e+02
6.803014e+00,3.986382e+00,3.986382e+00,2.139261e+02,1.713830e+02
7.180959e+00,4.148799e+00,4.148799e+00,2.188829e+02,1.748733e+02
7.558904e+00,4.313380e+00,4.313380e+00,2.219503e+02,1.752464e+02
9.448631e+00,5.161409e+00,5.161409e+00,2.181389e+02,1.730071e+02
1.039349e+01,5.597068e+00,5.597068e+00,2.182011e+02,1.723231e+02
1.133836e+01,6.038259e+00,6.038259e+00,2.183535e+02,1.720595e+02
1.511781e+00,2.390335e+00,2.390335e+00,5.025327e+02,5.043304e+02
1.700754e+00,2.421874e+00,2.421874e+00,2.408721e+02,2.444257e+02
1.889726e+00,2.456644e+00,2.456644e+00,1.135857e+02,1.166302e+02
2.078699e+00,2.494510e+00,2.494510e+00,5.981010e+01,6.533600e+01
2.267671e+00,2.535334e+00,2.535334e+00,4.293070e+01,4.812120e+01
2.456644e+00,2.578974e+00,2.578974e+00,4.535490e+01,4.888180e+01
2.645617e+00,2.625291e+00,2.625291e+00,5.632430e+01,5.757850e+01
2.834589e+00,2.674146e+00,2.674146e+00,6.988360e+01,6.875220e+01
3.023562e+00,2.725402e+00,2.725402e+00,8.030410e+01,7.765160e+01
3.212534e+00,2.778926e+00,2.778926e+00,8.986390e+01,8.521390e+01
3.401507e+00,2.834589e+00,2.834589e+00,1.004594e+02,9.411520e+01
3.590480e+00,2.892269e+00,2.892269e+00,1.113242e+02,1.033308e+02
3.779452e+00,2.951847e+00,2.951847e+00,1.212413e+02,1.099790e+02
4.157397e+00,3.076251e+00,3.076251e+00,1.391079e+02,1.234697e+02
4.535343e+00,3.206972e+00,3.206972e+00,1.554596e+02,1.362576e+02
4.913288e+00,3.343267e+00,3.343267e+00,1.697986e+02,1.471498e+02
5.291233e+00,3.484483e+00,3.484483e+00,1.820585e+02,1.549806e+02
5.669178e+00,3.630045e+00,3.630045e+00,1.931877e+02,1.618021e+02
6.047124e+00,3.779452e+00,3.779452e+00,2.028791e+02,1.668525e+02
