R1,R2,R3,R4,R5,R6
2.074919e+00,1.418429e+00,1.418429e+00,3.139108e+00,3.139108e+00,2.267671e+00
2.074919e+00,1.495036e+00,1.495036e+00,3.174459e+00,3.174459e+00,2.456644e+00
2.074919e+00,1.573588e+00,1.573588e+00,3.212201e+00,3.212201e+00,2.645617e+00
2.074919e+00,1.653808e+00,1.653808e+00,3.252252e+00,3.252252e+00,2.834589e+00
2.074919e+00,1.735465e+00,1.735465e+00,3.294525e+00,3.294525e+00,3.023562e+00
2.074919e+00,1.818365e+00,1.818365e+00,3.338939e+00,3.338939e+00,3.212534e+00
2.074919e+00,1.902346e+00,1.902346e+00,3.385407e+00,3.385407e+00,3.401507e+00
2.074919e+00,2.073023e+00,2.073023e+00,3.484176e+00,3.484176e+00,3.779452e+00
2.074919e+00,2.246630e+00,2.246630e+00,3.590182e+00,3.590182e+00,4.157397e+00
2.074919e+00,2.422538e+00,2.422538e+00,3.702803e+00,3.702803e+00,4.535343e+00
2.074919e+00,2.600280e+00,2.600280e+00,3.821455e+00,3.821455e+00,4.913288e+00
2.074919e+00,2.779504e+00,2.779504e+00,3.945593e+00,3.945593e+00,5.291233e+00
2.074919e+00,2.959942e+00,2.959942e+00,4.074716e+00,4.074716e+00,5.669178e+00
2.074919e+00,3.141383e+00,3.141383e+00,4.208366e+00,4.208366e+00,6.047124e+00
2.074919e+00,3.323663e+00,3.323663e+00,4.346124e+00,4.346124e+00,6.425069e+00
2.074919e+00,3.506652e+00,3.506652e+00,4.487613e+00,4.487613e+00,6.803014e+00
2.074919e+00,3.690244e+00,3.690244e+00,4.632490e+00,4.632490e+00,7.180959e+00
2.074919e+00,3.874354e+00,3.874354e+00,4.780447e+00,4.780447e+00,7.558904e+00
2.074919e+00,4.243856e+00,4.243856e+00,5.084523e+00,5.084523e+00,8.314795e+00
2.074919e+00,4.614726e+00,4.614726e+00,5.397939e+00,5.397939e+00,9.070685e+00
2.074919e+00,4.986658e+00,4.986658e+00,5.719162e+00,5.719162e+00,9.826576e+00
2.074919e+00,5.359432e+00,5.359432e+00,6.046947e+00,6.046947e+00,1.058247e+01
2.074919e+00,5.732882e+00,5.732882e+00,6.380282e+00,6.380282e+00,1.133836e+01
2.074919e+00,6.668726e+00,6.668726e+00,7.232839e+00,7.232839e+00,1.322808e+01
2.074919e+00,7.606799e+00,7.606799e+00,8.105890e+00,8.105890e+00,1.511781e+01
2.074919e+00,8.546369e+00,8.546369e+00,8.993469e+00,8.993469e+00,1.700754e+01
2.074919e+00,9.486990e+00,9.486990e+00,9.891665e+00,9.891665e+00,1.889726e+01
2.074919e+00,1.471199e+00,1.471199e+00,3.284919e+00,3.284919e+00,2.078699e+00
2.074919e+00,1.539403e+00,1.539403e+00,3.316026e+00,3.316026e+00,2.267671e+00
2.074919e+00,1.610265e+00,1.610265e+00,3.349510e+00,3.349510e+00,2.456644e+00
2.074919e+00,1.683449e+00,1.683449e+00,3.385301e+00,3.385301e+00,2.645617e+00
2.074919e+00,1.758665e+00,1.758665e+00,3.423327e+00,3.423327e+00,2.834589e+00
2.074919e+00,1.835663e+00,1.835663e+00,3.463513e+00,3.463513e+00,3.023562e+00
2.074919e+00,1.914229e+00,1.914229e+00,3.505786e+00,3.505786e+00,3.212534e+00
2.074919e+00,1.994177e+00,1.994177e+00,3.550071e+00,3.550071e+00,3.401507e+00
2.074919e+00,2.157601e+00,2.157601e+00,3.644380e+00,3.644380e+00,3.779452e+00
2.074919e+00,2.324902e+00,2.324902e+00,3.745855e+00,3.745855e+00,4.157397e+00
2.074919e+00,2.495298e+00,2.495298e+00,3.853930e+00,3.853930e+00,4.535343e+00
2.074919e+00,2.668198e+00,2.668198e+00,3.968065e+00,3.968065e+00,4.913288e+00
2.074919e+00,2.843144e+00,2.843144e+00,4.087754e+00,4.087754e+00,5.291233e+00
2.074919e+00,3.019781e+00,3.019781e+00,4.212522e+00,4.212522e+00,5.669178e+00
2.074919e+00,3.197828e+00,3.197828e+00,4.341931e+00,4.341931e+00,6.047124e+00
2.074919e+00,3.377063e+00,3.377063e+00,4.475580e+00,4.475580e+00,6.425069e+00
2.074919e+00,3.557306e+00,3.557306e+00,4.613100e+00,4.613100e+00,6.803014e+00
2.074919e+00,3.738412e+00,3.738412e+00,4.754155e+00,4.754155e+00,7.180959e+00
2.074919e+00,3.920260e+00,3.920260e+00,4.898439e+00,4.898439e+00,7.558904e+00
2.074919e+00,4.285806e+00,4.285806e+00,5.195613e+00,5.195613e+00,8.314795e+00
2.074919e+00,4.653333e+00,4.653333e+00,5.502706e+00,5.502706e+00,9.070685e+00
2.074919e+00,5.022407e+00,5.022407e+00,5.818148e+00,5.818148e+00,9.826576e+00
2.074919e+00,5.392711e+00,5.392711e+00,6.140651e+00,6.140651e+00,1.058247e+01
2.074919e+00,5.764006e+00,5.764006e+00,6.469160e+00,6.469160e+00,1.133836e+01
2.074919e+00,6.695500e+00,6.695500e+00,7.311360e+00,7.311360e+00,1.322808e+01
2.074919e+00,7.630283e+00,7.630283e+00,8.176031e+00,8.176031e+00,1.511781e+01
2.074919e+00,8.567277e+00,8.567277e+00,9.056738e+00,9.056738e+00,1.700754e+01
2.074919e+00,9.505830e+00,9.505830e+00,9.949224e+00,9.949224e+00,1.889726e+01
2.074919e+00,1.495514e+00,1.495514e+00,3.412775e+00,3.412775e+00,1.700754e+00
2.074919e+00,1.551189e+00,1.551189e+00,3.437536e+00,3.437536e+00,1.889726e+00
2.074919e+00,1.610487e+00,1.610487e+00,3.464699e+00,3.464699e+00,2.078699e+00
2.074919e+00,1.673022e+00,1.673022e+00,3.494206e+00,3.494206e+00,2.267671e+00
2.074919e+00,1.738446e+00,1.738446e+00,3.525999e+00,3.525999e+00,2.456644e+00
2.074919e+00,1.806445e+00,1.806445e+00,3.560016e+00,3.560016e+00,2.645617e+00
2.074919e+00,1.876738e+00,1.876738e+00,3.596194e+00,3.596194e+00,2.834589e+00
2.074919e+00,1.949077e+00,1.949077e+00,3.634470e+00,3.634470e+00,3.023562e+00
2.074919e+00,2.023244e+00,2.023244e+00,3.674777e+00,3.674777e+00,3.212534e+00
2.074919e+00,2.099043e+00,2.099043e+00,3.717049e+00,3.717049e+00,3.401507e+00
2.074919e+00,2.254880e+00,2.254880e+00,3.807224e+00,3.807224e+00,3.779452e+00
2.074919e+00,2.415452e+00,2.415452e+00,3.904469e+00,3.904469e+00,4.157397e+00
2.074919e+00,2.579875e+00,2.579875e+00,4.008269e+00,4.008269e+00,4.535343e+00
2.074919e+00,2.747457e+00,2.747457e+00,4.118129e+00,4.118129e+00,4.913288e+00
2.074919e+00,2.917655e+00,2.917655e+00,4.233577e+00,4.233577e+00,5.291233e+00
2.074919e+00,3.090035e+00,3.090035e+00,4.354169e+00,4.354169e+00,5.669178e+00
2.074919e+00,3.264253e+00,3.264253e+00,4.479488e+00,4.479488e+00,6.047124e+00
2.074919e+00,3.440029e+00,3.440029e+00,4.609150e+00,4.609150e+00,6.425069e+00
2.074919e+00,3.617136e+00,3.617136e+00,4.742799e+00,4.742799e+00,6.803014e+00
2.074919e+00,3.795387e+00,3.795387e+00,4.880106e+00,4.880106e+00,7.180959e+00
2.074919e+00,3.974630e+00,3.974630e+00,5.020772e+00,5.020772e+00,7.558904e+00
2.074919e+00,4.335594e+00,4.335594e+00,5.311106e+00,5.311106e+00,8.314795e+00
2.074919e+00,4.699229e+00,4.699229e+00,5.611882e+00,5.611882e+00,9.070685e+00
2.074919e+00,5.064960e+00,5.064960e+00,5.921511e+00,5.921511e+00,9.826576e+00
2.074919e+00,5.432363e+00,5.432363e+00,6.238673e+00,6.238673e+00,1.058247e+01
2.074919e+00,5.801121e+00,5.801121e+00,6.562277e+00,6.562277e+00,1.133836e+01
2.074919e+00,6.727478e+00,6.727478e+00,7.393878e+00,7.393878e+00,1.322808e+01
2.074919e+00,7.658359e+00,7.658359e+00,8.249905e+00,8.249905e+00,1.511781e+01
2.074919e+00,8.592292e+00,8.592292e+00,9.123484e+00,9.123484e+00,1.700754e+01
2.074919e+00,9.528381e+00,9.528381e+00,1.001002e+01,1.001002e+01,1.889726e+01
2.074919e+00,1.607935e+00,1.607935e+00,3.574931e+00,3.574931e+00,1.511781e+00
2.074919e+00,1.654456e+00,1.654456e+00,3.596095e+00,3.596095e+00,1.700754e+00
2.074919e+00,1.704949e+00,1.704949e+00,3.619603e+00,3.619603e+00,1.889726e+00
